"Neighbourhood","Neighbourhood Id","Combined Indicators","Child 0-14","Youth 15-24","Seniors 55 and over","Seniors 65 and over","Average Family Income","Pre-Tax Household Income","After-Tax Household Income"
"West Humber-Clairville",1.0,"N/A",5960.0,5400.0,8095.0,4330.0,72820.0,66241.0,59703.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",7665.0,5015.0,5935.0,2955.0,57411.0,49934.0,46986.0
"Thistletown-Beaumond Heights",3.0,"N/A",1815.0,1350.0,2825.0,1740.0,70838.0,62042.0,57522.0
"Rexdale-Kipling",4.0,"N/A",1590.0,1315.0,3245.0,1905.0,69367.0,56545.0,51194.0
"Elms-Old Rexdale",5.0,"N/A",2110.0,1380.0,2110.0,1100.0,61196.0,50846.0,49425.0
"Kingsview Village-The Westway",6.0,"N/A",4470.0,2925.0,5725.0,3405.0,68145.0,55454.0,50714.0
"Willowridge-Martingrove-Richview",7.0,"N/A",3415.0,2660.0,7060.0,4505.0,79241.0,63701.0,57048.0
"Humber Heights-Westmount",8.0,"N/A",1470.0,1145.0,4090.0,2850.0,81267.0,60410.0,54919.0
"Edenbridge-Humber Valley",9.0,"N/A",2180.0,1860.0,4870.0,2770.0,119581.0,71646.0,62463.0
"Princess-Rosethorn",10.0,"N/A",1745.0,1750.0,3560.0,1930.0,144943.0,114844.0,93391.0
"Eringate-Centennial-West Deane",11.0,"N/A",2755.0,2545.0,6165.0,3650.0,88741.0,80894.0,69740.0
"Markland Wood",12.0,"N/A",1355.0,1170.0,4110.0,2575.0,100337.0,74376.0,64297.0
"Etobicoke West Mall",13.0,"N/A",1775.0,1415.0,3170.0,1900.0,67704.0,56010.0,50570.0
"Islington-City Centre West",14.0,"N/A",5165.0,4315.0,11135.0,6555.0,87747.0,66537.0,57658.0
"Kingsway South",15.0,"N/A",1720.0,1015.0,3010.0,1695.0,191204.0,131047.0,106386.0
"Stonegate-Queensway",16.0,"N/A",3895.0,2465.0,7295.0,3985.0,100867.0,78238.0,67549.0
"Mimico",17.0,"N/A",2970.0,2345.0,7590.0,3935.0,87901.0,64589.0,55300.0
"New Toronto",18.0,"N/A",1495.0,1385.0,2910.0,1485.0,70398.0,44141.0,40859.0
"Long Branch",19.0,"N/A",1315.0,1145.0,2565.0,1205.0,77549.0,52771.0,47680.0
