"Neighbourhood","Neighbourhood Id","Combined Indicators","Voter Turnout","City Beautification","City Grants Funding $","Diversity Index","Watermain Breaks"
"West Humber-Clairville",1.0,"N/A",34.7571,191.0,520390.0,4.76954,30.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",28.144099999999998,55.0,10040.0,4.969163,8.0
"Thistletown-Beaumond Heights",3.0,"N/A",40.5373,25.0,158658.0,5.106365,9.0
"Rexdale-Kipling",4.0,"N/A",39.7091,19.0,49210.0,5.20861,5.0
"Elms-Old Rexdale",5.0,"N/A",34.0128,17.0,42870.0,5.502152,10.0
"Kingsview Village-The Westway",6.0,"N/A",34.6504,35.0,84210.0,5.306001,21.0
"Willowridge-Martingrove-Richview",7.0,"N/A",37.744,50.0,32430.0,5.081778,5.0
"Humber Heights-Westmount",8.0,"N/A",36.1911,24.0,34520.0,4.855956,31.0
"Edenbridge-Humber Valley",9.0,"N/A",36.424099999999996,27.0,7000.0,4.856194,22.0
"Princess-Rosethorn",10.0,"N/A",39.1461,25.0,2550.0,4.488839,19.0
"Eringate-Centennial-West Deane",11.0,"N/A",34.764,43.0,1530.0,5.103427,12.0
"Markland Wood",12.0,"N/A",37.7516,13.0,4200.0,4.662156,11.0
"Etobicoke West Mall",13.0,"N/A",31.287,25.0,60300.0,5.282766,3.0
"Islington-City Centre West",14.0,"N/A",33.6886,153.0,360895.0,5.258512,32.0
"Kingsway South",15.0,"N/A",38.107600000000005,59.0,4000.0,4.197114,4.0
"Stonegate-Queensway",16.0,"N/A",37.1248,86.0,154935.65625,4.755226,24.0
"Mimico",17.0,"N/A",34.0997,125.0,145616.0,5.036239,6.0
"New Toronto",18.0,"N/A",34.586800000000004,142.0,149954.0,4.930158,6.0
"Long Branch",19.0,"N/A",35.5761,82.0,0.0,4.791108,11.0
"Alderwood",20.0,"N/A",38.2793,32.0,25500.0,4.510898,20.0
"Humber Summit",21.0,"N/A",29.1012,51.0,0.0,4.215487,7.0
"Humbermede",22.0,"N/A",30.3587,37.0,72545.0,5.124448,4.0
"Pelmo Park-Humberlea",23.0,"N/A",39.1851,18.0,41215.0,4.712372,2.0
"Black Creek",24.0,"N/A",41.842,42.0,279719.0,5.456871,3.0
"Glenfield-Jane Heights",25.0,"N/A",38.3011,56.0,337479.0,5.086977,20.0
"Downsview-Roding-CFB",26.0,"N/A",32.3401,88.0,294849.0,5.036294,26.0
"York University Heights",27.0,"N/A",27.423199999999998,203.0,86906.492187,5.313754,13.0
"Rustic",28.0,"N/A",38.108799999999995,11.0,0.0,4.799548,4.0
"Maple Leaf",29.0,"N/A",40.1153,15.0,0.0,4.152809,8.0
"Brookhaven-Amesbury",30.0,"N/A",35.9503,33.0,23200.0,5.337514,4.0
"Yorkdale-Glen Park",31.0,"N/A",37.9178,60.0,156665.0,4.82349,13.0
