"Neighbourhood","Neighbourhood Id","Combined Indicators","City Grants Funding $","Walk Score","Watermain Breaks","Salvation Army Donors","Neighbourhood Equity Score"
"West Humber-Clairville",1.0,"N/A",123283.0,57.0,30.0,640.0,"N/A"
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",238172.0,61.0,8.0,222.0,"N/A"
"Thistletown-Beaumond Heights",3.0,"N/A",7296.0,54.0,9.0,218.0,"N/A"
"Rexdale-Kipling",4.0,"N/A",35100.0,58.0,5.0,336.0,"N/A"
"Elms-Old Rexdale",5.0,"N/A",0.0,48.0,10.0,152.0,"N/A"
"Kingsview Village-The Westway",6.0,"N/A",0.0,56.0,21.0,681.0,"N/A"
"Willowridge-Martingrove-Richview",7.0,"N/A",14425.0,51.0,5.0,1186.0,"N/A"
"Humber Heights-Westmount",8.0,"N/A",32400.0,58.0,31.0,595.0,"N/A"
"Edenbridge-Humber Valley",9.0,"N/A",0.0,49.0,22.0,1192.0,"N/A"
"Princess-Rosethorn",10.0,"N/A",0.0,48.0,19.0,1139.0,"N/A"
"Eringate-Centennial-West Deane",11.0,"N/A",0.0,57.0,12.0,950.0,"N/A"
"Markland Wood",12.0,"N/A",1200.0,69.0,11.0,953.0,"N/A"
"Etobicoke West Mall",13.0,"N/A",64200.0,74.0,3.0,424.0,"N/A"
"Islington-City Centre West",14.0,"N/A",12500.0,72.0,32.0,2012.0,"N/A"
"Kingsway South",15.0,"N/A",0.0,68.0,4.0,1047.0,"N/A"
"Stonegate-Queensway",16.0,"N/A",0.0,67.0,24.0,1440.0,"N/A"
"Mimico",17.0,"N/A",3000.0,71.0,6.0,873.0,"N/A"
"New Toronto",18.0,"N/A",0.0,79.0,6.0,279.0,"N/A"
"Long Branch",19.0,"N/A",0.0,72.0,11.0,308.0,"N/A"
"Alderwood",20.0,"N/A",0.0,70.0,20.0,599.0,"N/A"
"Humber Summit",21.0,"N/A",0.0,61.0,7.0,179.0,"N/A"
"Humbermede",22.0,"N/A",0.0,58.0,4.0,200.0,"N/A"
"Pelmo Park-Humberlea",23.0,"N/A",0.0,57.0,2.0,258.0,"N/A"
"Black Creek",24.0,"N/A",45890.0,62.0,3.0,126.0,"N/A"
"Glenfield-Jane Heights",25.0,"N/A",196977.0,61.0,20.0,247.0,"N/A"
"Downsview-Roding-CFB",26.0,"N/A",399478.0,59.0,26.0,538.0,"N/A"
"York University Heights",27.0,"N/A",23870.0,60.0,13.0,408.0,"N/A"
"Rustic",28.0,"N/A",0.0,60.0,4.0,156.0,"N/A"
