"Neighbourhood","Neighbourhood Id","Combined Indicators","Firearms Incidents","Ambulance Calls","Ambulance Referrals","Drug Arrests","Assaults","Sexual Assaults","Break & Enters","Robberies","Vehicle Thefts","Thefts","Murders","Arsons","Fires & Fire Alarms","Fire Vehicle Incidents","Hazardous Incidents","TCHC Safety Incidents"
"West Humber-Clairville",1.0,"N/A",3.0,3613.0,10.0,88.0,272.0,21.0,193.0,85.0,341.0,42.0,1.0,4.0,135.0,674.0,269.0,62.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",11.0,2229.0,5.0,145.0,269.0,23.0,88.0,80.0,113.0,6.0,0.0,0.0,70.0,52.0,163.0,426.0
"Thistletown-Beaumond Heights",3.0,"N/A",0.0,793.0,5.0,27.0,66.0,5.0,30.0,23.0,16.0,2.0,0.0,0.0,26.0,20.0,48.0,89.0
"Rexdale-Kipling",4.0,"N/A",0.0,664.0,5.0,17.0,49.0,6.0,28.0,16.0,25.0,0.0,0.0,0.0,26.0,14.0,64.0,48.0
"Elms-Old Rexdale",5.0,"N/A",1.0,836.0,3.0,8.0,49.0,3.0,22.0,26.0,17.0,2.0,0.0,2.0,23.0,45.0,52.0,138.0
"Kingsview Village-The Westway",6.0,"N/A",5.0,1447.0,7.0,51.0,111.0,9.0,33.0,22.0,47.0,2.0,0.0,2.0,38.0,185.0,99.0,87.0
"Willowridge-Martingrove-Richview",7.0,"N/A",0.0,1458.0,7.0,22.0,86.0,12.0,45.0,14.0,70.0,3.0,0.0,3.0,72.0,108.0,133.0,78.0
"Humber Heights-Westmount",8.0,"N/A",0.0,1244.0,6.0,21.0,35.0,4.0,22.0,13.0,21.0,2.0,0.0,1.0,27.0,15.0,61.0,96.0
"Edenbridge-Humber Valley",9.0,"N/A",0.0,795.0,5.0,8.0,48.0,3.0,49.0,5.0,33.0,4.0,0.0,0.0,38.0,32.0,64.0,0.0
"Princess-Rosethorn",10.0,"N/A",0.0,520.0,2.0,3.0,18.0,1.0,34.0,17.0,16.0,4.0,0.0,0.0,33.0,32.0,56.0,0.0
"Eringate-Centennial-West Deane",11.0,"N/A",0.0,1133.0,4.0,12.0,59.0,2.0,22.0,14.0,24.0,0.0,1.0,2.0,56.0,205.0,98.0,64.0
"Markland Wood",12.0,"N/A",0.0,727.0,5.0,5.0,24.0,5.0,24.0,18.0,13.0,1.0,0.0,1.0,29.0,57.0,35.0,0.0
"Etobicoke West Mall",13.0,"N/A",1.0,938.0,4.0,5.0,63.0,6.0,23.0,11.0,15.0,2.0,1.0,0.0,29.0,69.0,63.0,33.0
"Islington-City Centre West",14.0,"N/A",1.0,3953.0,16.0,57.0,222.0,22.0,132.0,55.0,169.0,31.0,0.0,0.0,150.0,507.0,268.0,295.0
"Kingsway South",15.0,"N/A",0.0,626.0,2.0,8.0,18.0,3.0,28.0,11.0,11.0,4.0,0.0,0.0,44.0,22.0,54.0,0.0
"Stonegate-Queensway",16.0,"N/A",1.0,1930.0,13.0,46.0,105.0,4.0,97.0,20.0,47.0,11.0,0.0,2.0,69.0,84.0,146.0,0.0
