"Neighbourhood","Neighbourhood Id","Combined Indicators","Social Assistance Recipients","Local Employment","Businesses","Business Licensing","Child Care Spaces","Inequality (Gini coeff.)","Access to Child Care","Low Income Families","Low Income Singles","Low Income Children","Family Income Category","Household Income Category"
"West Humber-Clairville",1.0,"N/A",2702.0,63385.0,2550.0,695.0,180.0,0.35938,0.383582,7720.0,725.0,643.0,7720.0,8960.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",6406.0,3346.0,273.0,106.0,45.0,0.42015,0.245736,7715.0,1177.0,1206.0,7720.0,9265.0
"Thistletown-Beaumond Heights",3.0,"N/A",1082.0,1350.0,236.0,116.0,25.0,0.38201,0.325,2520.0,305.0,161.0,2520.0,3150.0
"Rexdale-Kipling",4.0,"N/A",1231.0,1190.0,155.0,49.0,60.0,0.388429,0.24,2780.0,653.0,135.0,2775.0,3880.0
"Elms-Old Rexdale",5.0,"N/A",1759.0,831.0,70.0,31.0,60.0,0.38813,0.321622,2560.0,255.0,328.0,2555.0,3130.0
"Kingsview Village-The Westway",6.0,"N/A",4292.0,3301.0,160.0,59.0,129.0,0.38962,0.243478,5760.0,792.0,577.0,5765.0,7615.0
"Willowridge-Martingrove-Richview",7.0,"N/A",1792.0,1865.0,182.0,117.0,131.0,0.370339,0.271111,5975.0,617.0,359.0,5975.0,7835.0
"Humber Heights-Westmount",8.0,"N/A",921.0,741.0,81.0,49.0,60.0,0.421779,0.280769,2750.0,634.0,235.0,2755.0,4135.0
"Edenbridge-Humber Valley",9.0,"N/A",852.0,1473.0,162.0,67.0,30.0,0.37472,0.36,4055.0,468.0,93.0,4050.0,5730.0
"Princess-Rosethorn",10.0,"N/A",205.0,1270.0,77.0,40.0,311.0,0.265769,0.2,3140.0,131.0,26.0,3145.0,3810.0
"Eringate-Centennial-West Deane",11.0,"N/A",877.0,3505.0,244.0,95.0,142.0,0.33517,0.155,5285.0,484.0,178.0,5290.0,6650.0
"Markland Wood",12.0,"N/A",235.0,1659.0,105.0,46.0,105.0,0.341789,0.685714,2970.0,332.0,36.0,2980.0,4210.0
"Etobicoke West Mall",13.0,"N/A",1080.0,3541.0,181.0,35.0,60.0,0.369599,0.302703,2860.0,405.0,185.0,2855.0,3965.0
