"Neighbourhood","Neighbourhood Id","Combined Indicators","Social Assistance Recipients","Local Employment","Businesses","Debt Risk Score","Home Prices","Child Care Spaces","Building Permits","Construction Value","Household Income Category"
"West Humber-Clairville",1.0,"N/A",2912.0,58271.0,2463.0,719.0,317508.0,195.0,279.0,1.4540418E7,10130.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",6561.0,3244.0,271.0,687.0,251119.0,60.0,37.0,2069362.0,9610.0
"Thistletown-Beaumond Heights",3.0,"N/A",1276.0,1311.0,217.0,718.0,414216.0,25.0,50.0,1686173.0,3225.0
"Rexdale-Kipling",4.0,"N/A",1323.0,1178.0,144.0,721.0,392271.0,75.0,21.0,297235.0,3945.0
"Elms-Old Rexdale",5.0,"N/A",1683.0,903.0,67.0,692.0,233832.0,60.0,20.0,1307302.0,3225.0
"Kingsview Village-The Westway",6.0,"N/A",4348.0,2799.0,160.0,717.0,292861.0,129.0,79.0,4881617.0,7655.0
"Willowridge-Martingrove-Richview",7.0,"N/A",2032.0,1843.0,169.0,750.0,511637.0,165.0,48.0,508462.0,8140.0
"Humber Heights-Westmount",8.0,"N/A",856.0,896.0,82.0,753.0,491396.0,140.0,66.0,2254026.0,3930.0
"Edenbridge-Humber Valley",9.0,"N/A",751.0,1334.0,153.0,761.0,873268.0,30.0,213.0,6633679.0,6020.0
"Princess-Rosethorn",10.0,"N/A",299.0,1226.0,74.0,791.0,971668.0,367.0,136.0,5775616.0,3885.0
"Eringate-Centennial-West Deane",11.0,"N/A",775.0,3472.0,229.0,775.0,423034.0,172.0,85.0,1776976.0,6895.0
"Markland Wood",12.0,"N/A",239.0,1494.0,106.0,783.0,505350.0,105.0,42.0,3448716.0,4365.0
"Etobicoke West Mall",13.0,"N/A",1091.0,4340.0,146.0,738.0,298426.0,60.0,25.0,790895.0,4045.0
"Islington-City Centre West",14.0,"N/A",2534.0,45794.0,2263.0,755.0,491678.0,204.0,854.0,9.8205339E7,16250.0
"Kingsway South",15.0,"N/A",74.0,2335.0,195.0,793.0,941223.0,115.0,163.0,4713695.0,3500.0
"Stonegate-Queensway",16.0,"N/A",1593.0,5932.0,595.0,760.0,690949.0,283.0,285.0,1.5243134E7,10420.0
"Mimico",17.0,"N/A",2634.0,11549.0,619.0,741.0,429941.0,195.0,287.0,8808814.0,13680.0
"New Toronto",18.0,"N/A",1600.0,5289.0,368.0,719.0,460811.0,90.0,93.0,2564633.0,5165.0
"Long Branch",19.0,"N/A",1024.0,1143.0,170.0,724.0,459088.0,54.0,108.0,3186671.0,4515.0
"Alderwood",20.0,"N/A",516.0,4839.0,309.0,764.0,504233.0,120.0,161.0,5550949.0,4660.0
"Humber Summit",21.0,"N/A",1659.0,17950.0,1373.0,715.0,354381.0,53.0,208.0,2296315.0,3790.0
"Humbermede",22.0,"N/A",2590.0,5799.0,374.0,695.0,314721.0,55.0,35.0,1464760.0,5115.0
"Pelmo Park-Humberlea",23.0,"N/A",798.0,2855.0,152.0,735.0,412618.0,0.0,484.0,331134.0,2975.0
"Black Creek",24.0,"N/A",6408.0,3856.0,306.0,661.0,235143.0,175.0,27.0,192356.0,7250.0
"Glenfield-Jane Heights",25.0,"N/A",7263.0,8323.0,587.0,678.0,304262.0,173.0,32.0,510269.0,10005.0
"Downsview-Roding-CFB",26.0,"N/A",5618.0,20150.0,985.0,692.0,400486.0,238.0,198.0,1384227.0,13270.0
"York University Heights",27.0,"N/A",4720.0,42885.0,2643.0,698.0,359372.0,156.0,477.0,2548200.0,10310.0
"Rustic",28.0,"N/A",1924.0,550.0,48.0,692.0,493442.0,26.0,11.0,230300.0,3655.0
"Maple Leaf",29.0,"N/A",919.0,737.0,47.0,721.0,540741.0,90.0,47.0,296105.0,3555.0
"Brookhaven-Amesbury",30.0,"N/A",3420.0,4825.0,466.0,687.0,352428.0,54.0,70.0,1901254.0,6390.0
"Yorkdale-Glen Park",31.0,"N/A",1502.0,24685.0,1468.0,729.0,421045.0,82.0,311.0,3602065.0,5240.0
"Englemount-Lawrence",32.0,"N/A",2733.0,3495.0,175.0,730.0,577889.0,105.0,193.0,4223711.0,8135.0
"Clanton Park",33.0,"N/A",734.0,5011.0,357.0,740.0,605585.0,130.0,156.0,3152886.0,5535.0
"Bathurst Manor",34.0,"N/A",1018.0,3370.0,244.0,745.0,568877.0,105.0,129.0,193166.0,6020.0
"Westminster-Branson",35.0,"N/A",2906.0,3027.0,83.0,730.0,372380.0,45.0,47.0,361885.0,10095.0
"Newtonbrook West",36.0,"N/A",2124.0,9091.0,483.0,737.0,557468.0,98.0,179.0,1704113.5,8620.0
"Willowdale West",37.0,"N/A",515.0,7110.0,363.0,766.0,541247.0,248.0,273.0,2452518.0,6675.0
"Lansing-Westgate",38.0,"N/A",468.0,12254.0,488.0,758.0,646460.0,75.0,331.0,2948359.5,5985.0
"Bedford Park-Nortown",39.0,"N/A",484.0,8187.0,676.0,776.0,1191040.0,60.0,1034.0,1.25625215E7,8715.0
"St.Andrew-Windfields",40.0,"N/A",606.0,13023.0,591.0,774.0,1363202.0,124.0,441.0,7081739.0,6460.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",37.0,11756.0,58.0,788.0,1849084.0,0.0,380.0,4725167.0,3005.0
"Banbury-Don Mills",42.0,"N/A",1030.0,25614.0,834.0,776.0,613647.0,255.0,515.0,8375149.5,11770.0
"Victoria Village",43.0,"N/A",2593.0,7035.0,431.0,730.0,365107.0,134.0,84.0,1793613.0,7285.0
"Flemingdon Park",44.0,"N/A",4348.0,5088.0,185.0,721.0,204104.0,203.0,31.0,177760.0,8035.0
