"Neighbourhood","Neighbourhood Id","Combined Indicators","Part-Time Employment","Low Income Families","Low Income Population","Low Income Children (Age 0-17)","Low Income Older Adults (Age 65+)","Low Income Lone Parent Families","Lone Parent Families","Low Income Lone Parent Families Pop","Lone Parent Families Population"
"West Humber-Clairville",1.0,"N/A",13305.0,3790.0,7590.0,2060.0,490.0,560.0,1740.0,1540.0,4660.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",945.0,5010.0,11540.0,4130.0,500.0,1030.0,2150.0,3230.0,6280.0
"Thistletown-Beaumond Heights",3.0,"N/A",527.0,1080.0,2350.0,760.0,130.0,220.0,560.0,630.0,1520.0
"Rexdale-Kipling",4.0,"N/A",515.0,1110.0,2170.0,690.0,110.0,250.0,670.0,700.0,1700.0
"Elms-Old Rexdale",5.0,"N/A",392.0,1190.0,2790.0,1090.0,100.0,350.0,790.0,1040.0,2230.0
"Kingsview Village-The Westway",6.0,"N/A",748.0,2800.0,6760.0,2650.0,280.0,710.0,1580.0,2160.0,4500.0
"Willowridge-Martingrove-Richview",7.0,"N/A",609.0,1610.0,3490.0,1170.0,190.0,340.0,1090.0,1040.0,2840.0
"Humber Heights-Westmount",8.0,"N/A",315.0,820.0,1780.0,630.0,80.0,230.0,630.0,670.0,1640.0
"Edenbridge-Humber Valley",9.0,"N/A",541.0,900.0,1660.0,410.0,90.0,160.0,630.0,370.0,1510.0
"Princess-Rosethorn",10.0,"N/A",425.0,460.0,950.0,250.0,50.0,50.0,320.0,170.0,810.0
"Eringate-Centennial-West Deane",11.0,"N/A",713.0,1060.0,2130.0,590.0,210.0,200.0,890.0,560.0,2260.0
"Markland Wood",12.0,"N/A",594.0,510.0,990.0,260.0,80.0,90.0,400.0,250.0,960.0
"Etobicoke West Mall",13.0,"N/A",661.0,980.0,2020.0,570.0,100.0,190.0,600.0,510.0,1540.0
"Islington-City Centre West",14.0,"N/A",13461.0,6140.0,11590.0,1670.0,3290.0,570.0,1840.0,1500.0,4580.0
"Kingsway South",15.0,"N/A",1008.0,260.0,470.0,90.0,20.0,0.0,230.0,80.0,540.0
"Stonegate-Queensway",16.0,"N/A",1908.0,1740.0,3080.0,730.0,140.0,280.0,1010.0,700.0,2350.0
"Mimico",17.0,"N/A",1786.0,2720.0,4390.0,880.0,310.0,410.0,1300.0,990.0,3030.0
"New Toronto",18.0,"N/A",1836.0,1430.0,2410.0,580.0,90.0,250.0,620.0,650.0,1530.0
"Long Branch",19.0,"N/A",357.0,940.0,1520.0,350.0,70.0,170.0,510.0,420.0,1200.0
"Alderwood",20.0,"N/A",951.0,640.0,1090.0,240.0,90.0,100.0,570.0,250.0,1360.0
"Humber Summit",21.0,"N/A",2141.0,1570.0,3330.0,1030.0,210.0,240.0,700.0,690.0,1900.0
"Humbermede",22.0,"N/A",624.0,1860.0,4030.0,1330.0,210.0,420.0,1060.0,1150.0,2810.0
"Pelmo Park-Humberlea",23.0,"N/A",833.0,710.0,1430.0,450.0,90.0,170.0,530.0,450.0,1350.0
"Black Creek",24.0,"N/A",759.0,3680.0,7940.0,2950.0,300.0,1120.0,2190.0,3260.0,6200.0
"Glenfield-Jane Heights",25.0,"N/A",1714.0,4420.0,9610.0,3560.0,380.0,1380.0,2920.0,4040.0,8210.0
"Downsview-Roding-CFB",26.0,"N/A",4334.0,4060.0,7750.0,2300.0,300.0,910.0,2390.0,2430.0,6110.0
"York University Heights",27.0,"N/A",11541.0,4490.0,7950.0,1870.0,280.0,690.0,1780.0,1810.0,4610.0
"Rustic",28.0,"N/A",163.0,1340.0,2980.0,1240.0,90.0,540.0,1050.0,1560.0,2900.0
"Maple Leaf",29.0,"N/A",142.0,880.0,1770.0,500.0,100.0,170.0,500.0,440.0,1220.0
"Brookhaven-Amesbury",30.0,"N/A",1177.0,2320.0,4780.0,1630.0,170.0,690.0,1500.0,1880.0,4020.0
"Yorkdale-Glen Park",31.0,"N/A",7556.0,1470.0,2850.0,850.0,190.0,320.0,930.0,940.0,2430.0
"Englemount-Lawrence",32.0,"N/A",1331.0,2470.0,5360.0,1870.0,230.0,530.0,1270.0,1580.0,3510.0
"Clanton Park",33.0,"N/A",1155.0,1410.0,2560.0,560.0,180.0,190.0,650.0,470.0,1530.0
"Bathurst Manor",34.0,"N/A",881.0,1440.0,2620.0,560.0,200.0,180.0,650.0,460.0,1560.0
