"Neighbourhood","Neighbourhood Id","Combined Indicators","Early Development Instrument","Library Program Attendance","Library Open Hours","Library Activity","Library Space","Catholic School Literacy","Catholic School Graduation","Catholic University Applicants","Library Programs"
"West Humber-Clairville",1.0,"N/A","N/A",2.0,4.0,1.0,2.0,68.518516,0.810055,33.110366,3.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A","N/A",7.0,8.0,5.0,6.0,59.2,0.792899,19.122257,6.0
"Thistletown-Beaumond Heights",3.0,"N/A","N/A",6.0,9.0,5.0,6.0,68.888885,0.73,33.116882,6.0
"Rexdale-Kipling",4.0,"N/A","N/A",6.0,9.0,5.0,6.0,74.074073,0.864197,32.330825,6.0
"Elms-Old Rexdale",5.0,"N/A","N/A",1.0,4.0,1.0,2.0,59.2,0.653333,28.695652,2.0
"Kingsview Village-The Westway",6.0,"N/A","N/A",6.0,9.0,5.0,7.0,76.666664,0.854304,42.060085,6.0
"Willowridge-Martingrove-Richview",7.0,"N/A","N/A",6.0,9.0,5.0,7.0,84.771575,0.884615,52.0,7.0
"Humber Heights-Westmount",8.0,"N/A","N/A",6.0,9.0,5.0,8.0,81.034484,0.85,45.76271,7.0
"Edenbridge-Humber Valley",9.0,"N/A","N/A",7.0,9.0,5.0,8.0,85.454544,0.875,61.85567,7.0
"Princess-Rosethorn",10.0,"N/A","N/A",6.0,9.0,6.0,8.0,91.304344,0.955882,68.918922,7.0
"Eringate-Centennial-West Deane",11.0,"N/A","N/A",2.0,4.0,2.0,2.0,86.71875,0.924107,59.778598,2.0
"Markland Wood",12.0,"N/A","N/A",2.0,5.0,2.0,3.0,91.666664,0.966666,66.666664,3.0
"Etobicoke West Mall",13.0,"N/A","N/A",3.0,5.0,3.0,3.0,81.707313,0.907894,46.226413,3.0
"Islington-City Centre West",14.0,"N/A","N/A",2.0,5.0,3.0,3.0,86.428573,0.876288,62.551441,3.0
"Kingsway South",15.0,"N/A","N/A",5.0,9.0,4.0,4.0,92.857139,0.944444,68.421051,6.0
"Stonegate-Queensway",16.0,"N/A","N/A",4.0,9.0,3.0,4.0,91.489364,0.885964,49.35065,5.0
"Mimico",17.0,"N/A","N/A",2.0,4.0,1.0,3.0,86.124404,0.921985,53.535354,2.0
"New Toronto",18.0,"N/A","N/A",2.0,4.0,1.0,2.0,87.209304,0.830508,48.863636,2.0
"Long Branch",19.0,"N/A","N/A",2.0,4.0,1.0,2.0,85.542167,0.875,51.315788,2.0
"Alderwood",20.0,"N/A","N/A",2.0,4.0,1.0,3.0,91.216217,0.867256,55.172412,2.0
"Humber Summit",21.0,"N/A","N/A",3.0,4.0,1.0,3.0,70.400001,0.782258,27.058822,2.0
"Humbermede",22.0,"N/A","N/A",1.0,4.0,1.0,2.0,67.346939,0.827586,32.967033,2.0
"Pelmo Park-Humberlea",23.0,"N/A","N/A",2.0,4.0,1.0,2.0,76.5625,0.887096,37.430168,2.0
"Black Creek",24.0,"N/A","N/A",9.0,8.0,3.0,6.0,54.787235,0.823529,22.64151,8.0
"Glenfield-Jane Heights",25.0,"N/A","N/A",8.0,8.0,3.0,6.0,66.871162,0.816176,28.498727,8.0
"Downsview-Roding-CFB",26.0,"N/A","N/A",3.0,4.0,2.0,3.0,76.190475,0.831615,31.914894,4.0
"York University Heights",27.0,"N/A","N/A",9.0,8.0,4.0,6.0,74.725273,0.810218,37.991268,8.0
"Rustic",28.0,"N/A","N/A",2.0,4.0,2.0,2.0,68.06723,0.822916,39.2,2.0
"Maple Leaf",29.0,"N/A","N/A",3.0,4.0,2.0,3.0,75.833335,0.879999,38.46154,3.0
"Brookhaven-Amesbury",30.0,"N/A","N/A",2.0,4.0,1.0,2.0,66.315788,0.831168,34.433963,3.0
"Yorkdale-Glen Park",31.0,"N/A","N/A",7.0,9.0,3.0,7.0,78.709678,0.868613,37.5,8.0
"Englemount-Lawrence",32.0,"N/A","N/A",6.0,9.0,5.0,8.0,69.607841,0.783783,35.294116,8.0
"Clanton Park",33.0,"N/A","N/A",3.0,4.0,2.0,3.0,80.882354,0.916666,45.348838,3.0
"Bathurst Manor",34.0,"N/A","N/A",2.0,4.0,2.0,2.0,90.625,0.81081,43.939392,2.0
"Westminster-Branson",35.0,"N/A","N/A",2.0,4.0,2.0,2.0,69.230766,0.586206,35.0,2.0
"Newtonbrook West",36.0,"N/A","N/A",2.0,4.0,2.0,2.0,81.818183,0.788461,52.702701,2.0
"Willowdale West",37.0,"N/A","N/A",2.0,4.0,2.0,2.0,90.625,0.90625,62.222221,2.0
"Lansing-Westgate",38.0,"N/A","N/A",1.0,4.0,2.0,2.0,95.555557,0.931034,48.648647,2.0
"Bedford Park-Nortown",39.0,"N/A","N/A",5.0,9.0,5.0,7.0,78.846153,0.818181,52.307693,7.0
"St.Andrew-Windfields",40.0,"N/A","N/A",1.0,4.0,2.0,2.0,90.909088,0.782608,51.515151,1.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A","N/A",4.0,8.0,5.0,6.0,87.5,0.833333,66.666664,4.0
"Banbury-Don Mills",42.0,"N/A","N/A",4.0,8.0,5.0,5.0,91.228073,0.878787,61.666667,5.0
