"Neighbourhood","Neighbourhood Id","Combined Indicators","Green Rebate Programs","Tree Cover","Green Spaces","City Green Retrofits","Polluting Facilities"
"West Humber-Clairville",1.0,"N/A",339.0,2895860.84628,2.09802,5.0,81.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",152.0,1303945.158699,1.03964,7.0,0.0
"Thistletown-Beaumond Heights",3.0,"N/A",110.0,1499129.970287,0.93849,0.0,0.0
"Rexdale-Kipling",4.0,"N/A",103.0,756382.27606,0.24065,1.0,0.0
"Elms-Old Rexdale",5.0,"N/A",60.0,997510.806613,0.70749,1.0,1.0
"Kingsview Village-The Westway",6.0,"N/A",141.0,1642485.293065,0.31631,1.0,1.0
"Willowridge-Martingrove-Richview",7.0,"N/A",254.0,1701247.392473,0.35103,4.0,0.0
"Humber Heights-Westmount",8.0,"N/A",118.0,1242746.671244,0.49235,0.0,0.0
"Edenbridge-Humber Valley",9.0,"N/A",126.0,2788998.758453,0.5686,0.0,0.0
"Princess-Rosethorn",10.0,"N/A",170.0,2013219.194159,0.22009,1.0,0.0
"Eringate-Centennial-West Deane",11.0,"N/A",272.0,2351731.689709,2.80146,4.0,3.0
"Markland Wood",12.0,"N/A",168.0,1046837.577972,0.22394,0.0,1.0
"Etobicoke West Mall",13.0,"N/A",76.0,444920.612043,0.16927,2.0,1.0
"Islington-City Centre West",14.0,"N/A",379.0,2980850.368836,0.46354,5.0,21.0
"Kingsway South",15.0,"N/A",132.0,1384810.859661,0.3344,3.0,0.0
"Stonegate-Queensway",16.0,"N/A",321.0,2514072.744996,0.85004,3.0,2.0
"Mimico",17.0,"N/A",281.0,1058931.426566,0.73398,5.0,12.0
"New Toronto",18.0,"N/A",99.0,522508.425199,0.58133,4.0,6.0
"Long Branch",19.0,"N/A",98.0,750363.408345,0.32317,2.0,2.0
"Alderwood",20.0,"N/A",160.0,1086909.783261,0.29232,2.0,15.0
"Humber Summit",21.0,"N/A",90.0,1017894.543379,0.67427,2.0,31.0
"Humbermede",22.0,"N/A",69.0,1018657.517777,0.89575,1.0,7.0
"Pelmo Park-Humberlea",23.0,"N/A",92.0,1068349.304642,0.6085,1.0,1.0
"Black Creek",24.0,"N/A",71.0,742477.314817,0.41259,2.0,0.0
"Glenfield-Jane Heights",25.0,"N/A",205.0,1209851.201187,0.80808,3.0,1.0
"Downsview-Roding-CFB",26.0,"N/A",256.0,2455776.666096,0.81344,8.0,12.0
"York University Heights",27.0,"N/A",157.0,2067412.313571,0.73048,6.0,26.0
"Rustic",28.0,"N/A",51.0,550083.893128,0.19718,0.0,0.0
