"Neighbourhood","Neighbourhood Id","Combined Indicators","Female Fertility","Premature Mortality","Student Nutrition","Health Providers","Community Food Programs","Colorectal Cancer Screenings","Breast Cancer Screenings","Cervical Cancer Screenings","Teen Pregnancy","Diabetes Prevalence","DineSafe Inspections"
"West Humber-Clairville",1.0,"N/A",60.286693,220.3973857,1190.0,94.0,2.0,38.7,52.3,60.4,30.917874396135264,14.0,45.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",71.103462,198.255215,5026.0,39.0,3.0,36.8,47.8,54.6,37.106918238993714,14.9,2.0
"Thistletown-Beaumond Heights",3.0,"N/A",60.681976,244.4235366,950.0,10.0,2.0,38.2,54.8,60.1,38.4180790960452,12.0,0.0
"Rexdale-Kipling",4.0,"N/A",52.04216,224.4770552,125.0,6.0,2.0,37.2,56.0,62.6,33.879781420765035,11.9,0.0
"Elms-Old Rexdale",5.0,"N/A",65.44963,238.4821689,1975.0,1.0,1.0,35.6,54.7,61.1,39.34426229508197,12.7,0.0
"Kingsview Village-The Westway",6.0,"N/A",58.052433,225.7355037,2058.0,23.0,0.0,37.9,55.1,59.2,18.829516539440206,11.9,0.0
"Willowridge-Martingrove-Richview",7.0,"N/A",48.38256,181.6698512,1245.0,30.0,0.0,40.6,62.3,64.8,15.748031496062993,10.8,4.0
"Humber Heights-Westmount",8.0,"N/A",43.348281,249.0647531,0.0,4.0,2.0,37.8,58.8,66.4,21.052631578947366,9.9,2.0
"Edenbridge-Humber Valley",9.0,"N/A",26.871223,170.741378,0.0,10.0,1.0,42.3,65.9,71.4,7.260726072607261,7.2,0.0
"Princess-Rosethorn",10.0,"N/A",26.504394,209.2508906,0.0,4.0,0.0,42.6,67.3,74.2,7.407407407407407,6.6,0.0
"Eringate-Centennial-West Deane",11.0,"N/A",34.408603,187.3776484,104.0,9.0,1.0,43.0,64.4,69.8,12.88515406162465,9.4,2.0
"Markland Wood",12.0,"N/A",27.532869,209.7106787,200.0,11.0,0.0,37.7,65.7,70.5,0.0,8.4,1.0
"Etobicoke West Mall",13.0,"N/A",46.153846,272.9677012,345.0,13.0,1.0,38.2,55.1,63.1,25.252525252525256,10.8,0.0
"Islington-City Centre West",14.0,"N/A",39.870471,251.8460445,485.0,121.0,6.0,38.0,60.9,67.4,16.936936936936938,9.4,11.0
"Kingsway South",15.0,"N/A",44.151275,150.5788758,75.0,9.0,1.0,42.1,72.5,76.0,0.0,5.3,0.0
"Stonegate-Queensway",16.0,"N/A",46.586345,175.7294086,0.0,65.0,2.0,37.4,61.9,70.6,16.374269005847953,7.6,11.0
"Mimico",17.0,"N/A",39.518901,276.5425559,515.0,25.0,3.0,38.0,62.5,70.9,32.38095238095238,8.9,16.0
"New Toronto",18.0,"N/A",44.909832,291.1814584,274.0,15.0,4.0,35.0,58.2,65.8,42.52873563218391,10.2,16.0
"Long Branch",19.0,"N/A",42.903018,266.704878,220.0,4.0,0.0,33.0,49.6,64.5,37.5,9.2,5.0
"Alderwood",20.0,"N/A",33.038349,240.6536321,0.0,12.0,1.0,36.3,60.5,68.6,16.43835616438356,9.4,3.0
"Humber Summit",21.0,"N/A",59.781421,218.8219336,1924.0,14.0,1.0,46.4,62.6,59.7,23.931623931623932,14.1,7.0
"Humbermede",22.0,"N/A",60.60606,203.6670881,1965.0,18.0,1.0,41.8,57.9,60.6,36.0,13.8,5.0
"Pelmo Park-Humberlea",23.0,"N/A",52.81583,228.46196,0.0,2.0,1.0,40.6,62.1,65.5,17.61006289308176,11.2,3.0
"Black Creek",24.0,"N/A",68.415115,213.5510166,3493.0,34.0,2.0,37.8,55.8,60.1,55.900621118012424,14.8,8.0
"Glenfield-Jane Heights",25.0,"N/A",63.472045,245.7745506,5820.0,92.0,2.0,39.8,57.1,61.7,55.0,14.6,20.0
"Downsview-Roding-CFB",26.0,"N/A",57.81533,244.2241085,3703.0,82.0,4.0,41.7,58.9,64.0,48.34307992202729,12.0,22.0
"York University Heights",27.0,"N/A",51.147098,214.4987621,4104.0,61.0,4.0,40.8,60.3,63.5,49.44812362030905,12.8,55.0
"Rustic",28.0,"N/A",62.055335,233.4477317,1010.0,2.0,0.0,41.3,59.7,61.7,53.763440860215056,13.6,2.0
"Maple Leaf",29.0,"N/A",59.259258,224.0399338,550.0,4.0,0.0,39.7,57.8,62.9,34.013605442176875,12.5,1.0
"Brookhaven-Amesbury",30.0,"N/A",62.756992,231.5166095,1715.0,42.0,0.0,37.5,52.9,62.7,35.51912568306011,13.2,0.0
"Yorkdale-Glen Park",31.0,"N/A",46.401515,208.5832173,1318.0,43.0,5.0,41.2,59.2,63.1,31.050228310502288,12.3,12.0
"Englemount-Lawrence",32.0,"N/A",62.479869,222.1437574,2821.0,9.0,6.0,38.3,56.0,62.9,25.066666666666663,10.5,3.0
"Clanton Park",33.0,"N/A",47.842056,214.208258,0.0,41.0,1.0,39.0,61.2,64.4,20.253164556962027,9.5,2.0
"Bathurst Manor",34.0,"N/A",37.842864,149.8478888,0.0,44.0,1.0,40.3,62.6,68.7,16.666666666666668,10.0,0.0
"Westminster-Branson",35.0,"N/A",33.012821,202.4025864,0.0,4.0,0.0,37.9,58.4,62.6,12.444444444444445,10.2,4.0
"Newtonbrook West",36.0,"N/A",33.458881,201.2718371,205.0,58.0,4.0,40.9,60.4,60.3,20.105820105820108,9.5,8.0
"Willowdale West",37.0,"N/A",42.72063,190.6322644,0.0,32.0,3.0,42.9,63.5,66.0,19.2090395480226,8.1,1.0
"Lansing-Westgate",38.0,"N/A",35.764316,156.6210948,265.0,33.0,4.0,41.6,66.2,68.6,8.21917808219178,7.6,10.0
"Bedford Park-Nortown",39.0,"N/A",49.906543,150.934088,155.0,45.0,1.0,43.9,70.1,70.8,6.481481481481482,6.0,0.0
"St.Andrew-Windfields",40.0,"N/A",26.917404,144.388852,60.0,28.0,0.0,42.8,71.6,69.2,12.206572769953052,6.9,0.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",29.084041,162.8074218,70.0,7.0,1.0,43.1,71.8,70.0,5.555555555555555,5.6,0.0
"Banbury-Don Mills",42.0,"N/A",35.370685,160.013289,300.0,65.0,3.0,41.8,66.8,68.1,9.13978494623656,7.5,0.0
"Victoria Village",43.0,"N/A",53.546909,250.2171561,510.0,8.0,2.0,40.3,60.7,62.5,41.37931034482759,12.7,3.0
"Flemingdon Park",44.0,"N/A",60.072647,205.1158256,4561.0,9.0,2.0,33.9,52.3,56.1,27.096774193548388,12.8,4.0
"Parkwoods-Donalda",45.0,"N/A",40.438354,213.1226608,2220.0,27.0,3.0,38.5,60.4,64.8,20.62146892655367,9.7,0.0
