"Neighbourhood","Neighbourhood Id","Combined Indicators","   In Labour Force","   Unemployed","   Not in Labour Force","Less than grade 9","With College Certificate/Diploma","With Bachelor Degree or Higher"
"West Humber-Clairville",1.0,"N/A",17610.0,1750.0,9755.0,6170.0,4375.0,1445.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",14655.0,2175.0,10320.0,6855.0,3325.0,1090.0
"Thistletown-Beaumond Heights",3.0,"N/A",4825.0,530.0,3315.0,1970.0,1180.0,650.0
"Rexdale-Kipling",4.0,"N/A",5270.0,590.0,3330.0,2095.0,1450.0,350.0
"Elms-Old Rexdale",5.0,"N/A",4640.0,575.0,2850.0,2025.0,1395.0,260.0
"Kingsview Village-The Westway",6.0,"N/A",9855.0,920.0,7400.0,4395.0,2775.0,765.0
"Willowridge-Martingrove-Richview",7.0,"N/A",10190.0,835.0,7730.0,3760.0,2650.0,1140.0
"Humber Heights-Westmount",8.0,"N/A",4885.0,405.0,3365.0,1620.0,1210.0,320.0
"Edenbridge-Humber Valley",9.0,"N/A",7880.0,635.0,4770.0,1725.0,1780.0,795.0
"Princess-Rosethorn",10.0,"N/A",6005.0,425.0,3435.0,1085.0,1460.0,450.0
"Eringate-Centennial-West Deane",11.0,"N/A",9635.0,735.0,6370.0,2645.0,2850.0,1025.0
"Markland Wood",12.0,"N/A",5440.0,450.0,3630.0,1015.0,1520.0,470.0
"Etobicoke West Mall",13.0,"N/A",5530.0,555.0,3150.0,1685.0,1765.0,520.0
"Islington-City Centre West",14.0,"N/A",21295.0,1565.0,11025.0,4080.0,5315.0,2155.0
"Kingsway South",15.0,"N/A",4865.0,295.0,2495.0,665.0,945.0,310.0
"Stonegate-Queensway",16.0,"N/A",13650.0,1095.0,6925.0,2750.0,3315.0,910.0
"Mimico",17.0,"N/A",16325.0,1195.0,7105.0,3345.0,4725.0,1385.0
"New Toronto",18.0,"N/A",5880.0,520.0,3315.0,1740.0,1865.0,510.0
"Long Branch",19.0,"N/A",5870.0,505.0,2410.0,1455.0,1705.0,345.0
"Alderwood",20.0,"N/A",6735.0,500.0,3470.0,2290.0,2090.0,455.0
"Humber Summit",21.0,"N/A",5800.0,645.0,4450.0,3745.0,1365.0,310.0
"Humbermede",22.0,"N/A",7845.0,1030.0,4825.0,3475.0,2105.0,570.0
"Pelmo Park-Humberlea",23.0,"N/A",4505.0,440.0,2605.0,1835.0,1610.0,175.0
"Black Creek",24.0,"N/A",9585.0,1300.0,7320.0,5635.0,2595.0,450.0
"Glenfield-Jane Heights",25.0,"N/A",13075.0,1755.0,11245.0,9295.0,2970.0,670.0
"Downsview-Roding-CFB",26.0,"N/A",17550.0,1760.0,11065.0,9055.0,4535.0,1260.0
"York University Heights",27.0,"N/A",13590.0,1545.0,9285.0,5490.0,3425.0,1140.0
"Rustic",28.0,"N/A",4170.0,605.0,3465.0,2365.0,1310.0,320.0
"Maple Leaf",29.0,"N/A",5205.0,360.0,3055.0,2550.0,1205.0,325.0
"Brookhaven-Amesbury",30.0,"N/A",8695.0,835.0,5280.0,3825.0,2425.0,630.0
"Yorkdale-Glen Park",31.0,"N/A",6950.0,710.0,4690.0,3635.0,1615.0,445.0
"Englemount-Lawrence",32.0,"N/A",9705.0,735.0,6745.0,2365.0,2740.0,960.0
"Clanton Park",33.0,"N/A",8165.0,610.0,3810.0,1865.0,1705.0,815.0
"Bathurst Manor",34.0,"N/A",8050.0,625.0,4775.0,2450.0,2210.0,565.0
"Westminster-Branson",35.0,"N/A",13480.0,1240.0,8300.0,2550.0,3800.0,1545.0
"Newtonbrook West",36.0,"N/A",12080.0,1175.0,7915.0,2205.0,2810.0,1295.0
"Willowdale West",37.0,"N/A",7715.0,490.0,5500.0,1270.0,1640.0,980.0
"Lansing-Westgate",38.0,"N/A",8210.0,655.0,4055.0,895.0,1695.0,635.0
"Bedford Park-Nortown",39.0,"N/A",11680.0,735.0,6540.0,1890.0,2055.0,1115.0
"St.Andrew-Windfields",40.0,"N/A",9610.0,810.0,5650.0,1435.0,1855.0,1045.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",4275.0,245.0,2920.0,630.0,695.0,355.0
"Banbury-Don Mills",42.0,"N/A",14005.0,985.0,8850.0,2300.0,3385.0,1400.0
"Victoria Village",43.0,"N/A",8450.0,915.0,5680.0,2790.0,2795.0,785.0
"Flemingdon Park",44.0,"N/A",10370.0,1585.0,7335.0,3615.0,2930.0,995.0
"Parkwoods-Donalda",45.0,"N/A",18490.0,2070.0,9975.0,3860.0,4525.0,1535.0
"Pleasant View",46.0,"N/A",8210.0,815.0,5675.0,2580.0,1980.0,835.0
"Don Valley Village",47.0,"N/A",13850.0,1535.0,8515.0,2665.0,3105.0,1830.0
"Hillcrest Village",48.0,"N/A",8320.0,750.0,7015.0,1985.0,2220.0,1320.0
"Bayview Woods-Steeles",49.0,"N/A",6620.0,690.0,4900.0,1420.0,1555.0,925.0
"Newtonbrook East",50.0,"N/A",8325.0,775.0,5875.0,1620.0,1480.0,1120.0
"Willowdale East",51.0,"N/A",24755.0,1945.0,15155.0,2675.0,4040.0,2815.0
"Bayview Village",52.0,"N/A",9555.0,800.0,5655.0,1260.0,1965.0,975.0
"Henry Farm",53.0,"N/A",5820.0,745.0,3400.0,920.0,1385.0,570.0
"O'Connor-Parkview",54.0,"N/A",9340.0,860.0,5625.0,2950.0,2755.0,665.0
"Thorncliffe Park",55.0,"N/A",7985.0,1250.0,6055.0,2590.0,1840.0,770.0
"Leaside-Bennington",56.0,"N/A",8695.0,660.0,4310.0,1130.0,1600.0,660.0
"Broadview North",57.0,"N/A",6520.0,715.0,3380.0,1845.0,1845.0,570.0
"Old East York",58.0,"N/A",5175.0,340.0,2560.0,1255.0,1525.0,400.0
"Danforth-East York",59.0,"N/A",9740.0,680.0,4295.0,2705.0,2405.0,535.0
"Woodbine-Lumsden",60.0,"N/A",4430.0,375.0,2315.0,1110.0,1440.0,340.0
"Taylor-Massey",61.0,"N/A",7990.0,1295.0,4360.0,2145.0,1915.0,490.0
