"Neighbourhood","Neighbourhood Id","Combined Indicators","   Not in Labour Force","   Unemployed","   In Labour Force","Labour Force Category","With Bachelor Degree or Higher","With College Certificate/Diploma","Less than grade 9"
"West Humber-Clairville",1.0,"N/A",8385.0,1165.0,16535.0,24895.0,370.0,3050.0,1520.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",8175.0,1570.0,15875.0,24070.0,400.0,2975.0,1705.0
"Thistletown-Beaumond Heights",3.0,"N/A",3005.0,310.0,4895.0,7905.0,90.0,785.0,500.0
"Rexdale-Kipling",4.0,"N/A",3170.0,415.0,5400.0,8560.0,55.0,735.0,530.0
"Elms-Old Rexdale",5.0,"N/A",2655.0,360.0,4610.0,7265.0,60.0,705.0,560.0
"Kingsview Village-The Westway",6.0,"N/A",6420.0,1010.0,10690.0,17115.0,160.0,1925.0,890.0
"Willowridge-Martingrove-Richview",7.0,"N/A",7275.0,765.0,10235.0,17510.0,190.0,1665.0,865.0
"Humber Heights-Westmount",8.0,"N/A",3825.0,370.0,4625.0,8445.0,60.0,690.0,350.0
"Edenbridge-Humber Valley",9.0,"N/A",4365.0,415.0,7960.0,12320.0,200.0,1355.0,700.0
"Princess-Rosethorn",10.0,"N/A",3325.0,375.0,5825.0,9150.0,205.0,1060.0,535.0
"Eringate-Centennial-West Deane",11.0,"N/A",5925.0,560.0,9575.0,15505.0,205.0,1520.0,860.0
"Markland Wood",12.0,"N/A",3685.0,250.0,5090.0,8775.0,100.0,765.0,385.0
"Etobicoke West Mall",13.0,"N/A",2995.0,295.0,5490.0,8485.0,75.0,835.0,500.0
"Islington-City Centre West",14.0,"N/A",9810.0,1110.0,17515.0,27350.0,465.0,2495.0,1365.0
"Kingsway South",15.0,"N/A",2430.0,180.0,4525.0,6960.0,150.0,645.0,275.0
"Stonegate-Queensway",16.0,"N/A",6860.0,870.0,13125.0,19990.0,255.0,1435.0,910.0
"Mimico",17.0,"N/A",6580.0,980.0,15285.0,21870.0,180.0,1480.0,820.0
"New Toronto",18.0,"N/A",2780.0,440.0,5965.0,8750.0,105.0,850.0,410.0
"Long Branch",19.0,"N/A",2320.0,395.0,5790.0,8105.0,80.0,675.0,395.0
"Alderwood",20.0,"N/A",3385.0,360.0,6625.0,10010.0,110.0,890.0,500.0
"Humber Summit",21.0,"N/A",4280.0,465.0,5890.0,10170.0,75.0,1055.0,490.0
"Humbermede",22.0,"N/A",4565.0,630.0,7000.0,11570.0,120.0,1135.0,835.0
"Pelmo Park-Humberlea",23.0,"N/A",2540.0,230.0,4570.0,7110.0,45.0,620.0,385.0
"Black Creek",24.0,"N/A",6525.0,1035.0,9740.0,16260.0,130.0,2120.0,1260.0
"Glenfield-Jane Heights",25.0,"N/A",10095.0,1210.0,13740.0,23840.0,190.0,2440.0,1770.0
"Downsview-Roding-CFB",26.0,"N/A",9735.0,1400.0,16530.0,26260.0,180.0,2455.0,1455.0
"York University Heights",27.0,"N/A",7960.0,1350.0,13440.0,21405.0,560.0,3325.0,915.0
"Rustic",28.0,"N/A",3330.0,380.0,4240.0,7580.0,25.0,700.0,510.0
"Maple Leaf",29.0,"N/A",3395.0,350.0,5060.0,8450.0,85.0,685.0,385.0
"Brookhaven-Amesbury",30.0,"N/A",4865.0,675.0,8655.0,13520.0,155.0,1420.0,1045.0
"Yorkdale-Glen Park",31.0,"N/A",5195.0,450.0,7035.0,12240.0,175.0,1095.0,575.0
"Englemount-Lawrence",32.0,"N/A",6655.0,605.0,9340.0,15985.0,185.0,1590.0,925.0
"Clanton Park",33.0,"N/A",3865.0,465.0,7295.0,11165.0,170.0,1035.0,550.0
"Bathurst Manor",34.0,"N/A",4645.0,445.0,7725.0,12370.0,195.0,1090.0,515.0
"Westminster-Branson",35.0,"N/A",7890.0,1175.0,13130.0,21015.0,375.0,2505.0,1105.0
"Newtonbrook West",36.0,"N/A",6585.0,895.0,11050.0,17640.0,325.0,2115.0,835.0
"Willowdale West",37.0,"N/A",4695.0,455.0,6420.0,11110.0,235.0,1055.0,470.0
"Lansing-Westgate",38.0,"N/A",3850.0,575.0,8255.0,12115.0,285.0,1355.0,420.0
"Bedford Park-Nortown",39.0,"N/A",6090.0,480.0,11300.0,17390.0,315.0,1630.0,945.0
"St.Andrew-Windfields",40.0,"N/A",5045.0,650.0,9675.0,14720.0,475.0,1725.0,1055.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",2485.0,220.0,3730.0,6200.0,230.0,850.0,405.0
"Banbury-Don Mills",42.0,"N/A",8555.0,765.0,12935.0,21495.0,270.0,1635.0,935.0
"Victoria Village",43.0,"N/A",5520.0,730.0,8340.0,13860.0,185.0,1165.0,690.0
"Flemingdon Park",44.0,"N/A",6605.0,1260.0,10085.0,16685.0,160.0,1740.0,1080.0
"Parkwoods-Donalda",45.0,"N/A",9350.0,1585.0,18210.0,27565.0,400.0,2835.0,1680.0
"Pleasant View",46.0,"N/A",5485.0,760.0,8790.0,14280.0,180.0,1500.0,655.0
"Don Valley Village",47.0,"N/A",7995.0,1250.0,14215.0,22215.0,310.0,2355.0,1015.0
"Hillcrest Village",48.0,"N/A",6460.0,765.0,9520.0,15980.0,440.0,1940.0,945.0
"Bayview Woods-Steeles",49.0,"N/A",4630.0,550.0,6710.0,11340.0,250.0,1300.0,685.0
"Newtonbrook East",50.0,"N/A",5455.0,610.0,7975.0,13430.0,400.0,1915.0,565.0
"Willowdale East",51.0,"N/A",13630.0,1715.0,22815.0,36455.0,1300.0,4920.0,1540.0
"Bayview Village",52.0,"N/A",5115.0,535.0,8305.0,13425.0,320.0,1620.0,610.0
"Henry Farm",53.0,"N/A",2935.0,675.0,6195.0,9135.0,155.0,1125.0,490.0
"O'Connor-Parkview",54.0,"N/A",5355.0,705.0,9060.0,14420.0,145.0,1255.0,840.0
"Thorncliffe Park",55.0,"N/A",5575.0,645.0,7680.0,13255.0,165.0,1240.0,765.0
