"Neighbourhood","Neighbourhood Id","Combined Indicators","Home Language Category","   Language - Chinese","   Language - Tamil","   Language - Spanish","   Language - Italian","   Language - Portuguese","   Language - Tagalog","   Language - Urdu","   Language - Korean","   Language - Persian (Farsi)","   Language - Russian"
"West Humber-Clairville",1.0,"N/A",31385.0,425.0,525.0,945.0,535.0,20.0,525.0,625.0,20.0,55.0,35.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",32100.0,475.0,1275.0,900.0,455.0,70.0,335.0,905.0,55.0,365.0,45.0
"Thistletown-Beaumond Heights",3.0,"N/A",9760.0,25.0,290.0,325.0,360.0,70.0,40.0,210.0,40.0,130.0,20.0
"Rexdale-Kipling",4.0,"N/A",10440.0,100.0,70.0,490.0,155.0,55.0,50.0,170.0,20.0,100.0,40.0
"Elms-Old Rexdale",5.0,"N/A",9435.0,90.0,80.0,575.0,350.0,40.0,270.0,295.0,40.0,130.0,50.0
"Kingsview Village-The Westway",6.0,"N/A",21390.0,220.0,285.0,555.0,725.0,80.0,95.0,1350.0,425.0,355.0,115.0
"Willowridge-Martingrove-Richview",7.0,"N/A",20900.0,295.0,100.0,435.0,940.0,160.0,115.0,600.0,205.0,70.0,105.0
"Humber Heights-Westmount",8.0,"N/A",10065.0,45.0,0.0,420.0,510.0,190.0,0.0,0.0,45.0,10.0,200.0
"Edenbridge-Humber Valley",9.0,"N/A",14450.0,200.0,0.0,255.0,305.0,65.0,0.0,0.0,195.0,0.0,455.0
"Princess-Rosethorn",10.0,"N/A",10965.0,190.0,0.0,15.0,150.0,40.0,10.0,0.0,250.0,0.0,75.0
"Eringate-Centennial-West Deane",11.0,"N/A",18480.0,420.0,80.0,235.0,200.0,385.0,130.0,185.0,280.0,35.0,210.0
"Markland Wood",12.0,"N/A",10140.0,130.0,10.0,70.0,25.0,40.0,10.0,10.0,150.0,20.0,210.0
"Etobicoke West Mall",13.0,"N/A",10300.0,320.0,125.0,205.0,85.0,95.0,130.0,215.0,205.0,45.0,105.0
"Islington-City Centre West",14.0,"N/A",32315.0,680.0,170.0,490.0,360.0,380.0,345.0,185.0,1110.0,285.0,610.0
"Kingsway South",15.0,"N/A",8670.0,110.0,0.0,0.0,25.0,0.0,0.0,0.0,50.0,0.0,0.0
"Stonegate-Queensway",16.0,"N/A",23700.0,130.0,35.0,440.0,305.0,280.0,75.0,0.0,105.0,40.0,425.0
"Mimico",17.0,"N/A",24885.0,460.0,20.0,380.0,400.0,190.0,330.0,0.0,170.0,75.0,675.0
"New Toronto",18.0,"N/A",10440.0,70.0,0.0,145.0,70.0,125.0,205.0,0.0,50.0,40.0,165.0
"Long Branch",19.0,"N/A",9610.0,205.0,0.0,140.0,40.0,65.0,50.0,35.0,0.0,0.0,150.0
"Alderwood",20.0,"N/A",11640.0,30.0,0.0,75.0,400.0,250.0,55.0,0.0,35.0,0.0,115.0
"Humber Summit",21.0,"N/A",12755.0,125.0,205.0,415.0,1925.0,55.0,70.0,1030.0,20.0,150.0,0.0
"Humbermede",22.0,"N/A",14770.0,270.0,115.0,1175.0,985.0,25.0,65.0,1000.0,115.0,30.0,15.0
"Pelmo Park-Humberlea",23.0,"N/A",8720.0,200.0,175.0,475.0,775.0,105.0,90.0,45.0,15.0,35.0,15.0
"Black Creek",24.0,"N/A",21565.0,890.0,670.0,1015.0,860.0,85.0,120.0,195.0,60.0,15.0,65.0
"Glenfield-Jane Heights",25.0,"N/A",30715.0,1425.0,480.0,2725.0,2785.0,110.0,115.0,45.0,45.0,415.0,70.0
"Downsview-Roding-CFB",26.0,"N/A",31960.0,605.0,280.0,2290.0,3715.0,280.0,605.0,10.0,90.0,70.0,110.0
"York University Heights",27.0,"N/A",25980.0,2385.0,1095.0,1015.0,1730.0,90.0,225.0,760.0,110.0,190.0,210.0
"Rustic",28.0,"N/A",9860.0,70.0,300.0,445.0,1125.0,195.0,10.0,65.0,10.0,80.0,0.0
"Maple Leaf",29.0,"N/A",10175.0,55.0,110.0,515.0,1515.0,180.0,100.0,40.0,0.0,0.0,35.0
"Brookhaven-Amesbury",30.0,"N/A",17315.0,610.0,350.0,1055.0,760.0,460.0,180.0,120.0,45.0,20.0,35.0
"Yorkdale-Glen Park",31.0,"N/A",14430.0,575.0,35.0,455.0,2080.0,345.0,280.0,115.0,75.0,25.0,80.0
"Englemount-Lawrence",32.0,"N/A",20510.0,275.0,0.0,420.0,320.0,200.0,1140.0,30.0,30.0,230.0,515.0
"Clanton Park",33.0,"N/A",13690.0,215.0,10.0,190.0,440.0,20.0,870.0,0.0,40.0,25.0,550.0
"Bathurst Manor",34.0,"N/A",14615.0,230.0,10.0,260.0,515.0,95.0,500.0,15.0,170.0,15.0,1425.0
"Westminster-Branson",35.0,"N/A",24405.0,545.0,15.0,285.0,40.0,95.0,870.0,55.0,815.0,360.0,7070.0
"Newtonbrook West",36.0,"N/A",20305.0,700.0,0.0,300.0,425.0,50.0,625.0,40.0,1445.0,815.0,3005.0
"Willowdale West",37.0,"N/A",12480.0,875.0,0.0,105.0,145.0,30.0,95.0,35.0,540.0,545.0,575.0
"Lansing-Westgate",38.0,"N/A",14440.0,625.0,20.0,305.0,20.0,25.0,290.0,15.0,485.0,485.0,610.0
"Bedford Park-Nortown",39.0,"N/A",21885.0,175.0,20.0,105.0,105.0,25.0,365.0,25.0,50.0,45.0,75.0
"St.Andrew-Windfields",40.0,"N/A",17540.0,1650.0,10.0,200.0,30.0,0.0,110.0,55.0,710.0,460.0,150.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",7665.0,450.0,0.0,10.0,10.0,0.0,15.0,0.0,10.0,125.0,80.0
"Banbury-Don Mills",42.0,"N/A",25025.0,2055.0,65.0,230.0,35.0,10.0,260.0,210.0,350.0,610.0,150.0
"Victoria Village",43.0,"N/A",16730.0,545.0,495.0,350.0,200.0,0.0,190.0,550.0,145.0,260.0,35.0
"Flemingdon Park",44.0,"N/A",21285.0,1535.0,1310.0,310.0,0.0,25.0,560.0,1340.0,270.0,875.0,475.0
"Parkwoods-Donalda",45.0,"N/A",33740.0,2080.0,350.0,670.0,60.0,10.0,370.0,635.0,660.0,1065.0,300.0
"Pleasant View",46.0,"N/A",16600.0,4440.0,90.0,70.0,495.0,25.0,115.0,75.0,210.0,540.0,90.0
"Don Valley Village",47.0,"N/A",26405.0,5505.0,310.0,180.0,45.0,10.0,445.0,155.0,595.0,1750.0,435.0
"Hillcrest Village",48.0,"N/A",18340.0,6460.0,30.0,70.0,15.0,50.0,70.0,105.0,485.0,820.0,120.0
"Bayview Woods-Steeles",49.0,"N/A",13040.0,3050.0,65.0,65.0,70.0,10.0,10.0,0.0,770.0,495.0,295.0
"Newtonbrook East",50.0,"N/A",15150.0,2790.0,90.0,95.0,170.0,30.0,95.0,40.0,1050.0,1265.0,155.0
"Willowdale East",51.0,"N/A",41035.0,9915.0,25.0,450.0,95.0,50.0,170.0,50.0,3230.0,2745.0,735.0
"Bayview Village",52.0,"N/A",15360.0,2985.0,25.0,125.0,10.0,40.0,130.0,35.0,825.0,520.0,90.0
"Henry Farm",53.0,"N/A",11280.0,1820.0,220.0,155.0,10.0,0.0,315.0,260.0,275.0,620.0,160.0
"O'Connor-Parkview",54.0,"N/A",17735.0,330.0,260.0,75.0,140.0,0.0,330.0,565.0,95.0,315.0,55.0
"Thorncliffe Park",55.0,"N/A",17760.0,250.0,230.0,25.0,0.0,40.0,530.0,3865.0,65.0,790.0,185.0
"Leaside-Bennington",56.0,"N/A",15955.0,55.0,0.0,30.0,0.0,0.0,30.0,0.0,60.0,25.0,30.0
"Broadview North",57.0,"N/A",11365.0,280.0,60.0,75.0,20.0,0.0,115.0,0.0,30.0,55.0,50.0
"Old East York",58.0,"N/A",9015.0,285.0,0.0,30.0,65.0,10.0,115.0,130.0,15.0,20.0,0.0
"Danforth-East York",59.0,"N/A",16460.0,875.0,20.0,240.0,300.0,50.0,175.0,140.0,20.0,65.0,45.0
"Woodbine-Lumsden",60.0,"N/A",8035.0,725.0,0.0,10.0,100.0,35.0,125.0,45.0,10.0,70.0,10.0
"Taylor-Massey",61.0,"N/A",14985.0,1030.0,375.0,45.0,70.0,0.0,125.0,670.0,115.0,60.0,90.0
"East End-Danforth",62.0,"N/A",19775.0,665.0,40.0,75.0,145.0,40.0,100.0,295.0,50.0,115.0,30.0
"The Beaches",63.0,"N/A",20315.0,165.0,0.0,70.0,10.0,10.0,0.0,0.0,25.0,15.0,10.0
"Woodbine Corridor",64.0,"N/A",11505.0,465.0,25.0,45.0,70.0,10.0,20.0,125.0,30.0,0.0,30.0
"Greenwood-Coxwell",65.0,"N/A",14665.0,1995.0,20.0,25.0,100.0,30.0,110.0,375.0,10.0,10.0,0.0
"Danforth",66.0,"N/A",9525.0,645.0,30.0,25.0,470.0,20.0,0.0,130.0,40.0,70.0,10.0
"Playter Estates-Danforth",67.0,"N/A",7540.0,160.0,0.0,0.0,50.0,15.0,10.0,0.0,0.0,0.0,25.0
"North Riverdale",68.0,"N/A",11400.0,1095.0,0.0,20.0,50.0,10.0,0.0,0.0,15.0,0.0,0.0
"Blake-Jones",69.0,"N/A",7710.0,810.0,25.0,20.0,40.0,15.0,50.0,65.0,0.0,0.0,0.0
"South Riverdale",70.0,"N/A",23950.0,5535.0,0.0,80.0,20.0,195.0,160.0,110.0,25.0,20.0,0.0
"Cabbagetown-South St.James Town",71.0,"N/A",10720.0,300.0,0.0,90.0,0.0,55.0,120.0,0.0,100.0,65.0,65.0
"Regent Park",72.0,"N/A",10295.0,1240.0,720.0,105.0,0.0,40.0,30.0,70.0,35.0,0.0,15.0
"Moss Park",73.0,"N/A",8560.0,280.0,10.0,125.0,0.0,10.0,60.0,0.0,40.0,40.0,45.0
"North St.James Town",74.0,"N/A",16905.0,925.0,800.0,270.0,15.0,50.0,1195.0,210.0,335.0,100.0,280.0
"Church-Yonge Corridor",75.0,"N/A",23965.0,1105.0,45.0,415.0,40.0,65.0,135.0,30.0,225.0,100.0,155.0
"Bay Street Corridor",76.0,"N/A",15235.0,1860.0,0.0,145.0,10.0,35.0,95.0,40.0,435.0,320.0,115.0
"Waterfront Communities-The Island",77.0,"N/A",25960.0,990.0,0.0,290.0,35.0,95.0,80.0,55.0,150.0,85.0,225.0
"Kensington-Chinatown",78.0,"N/A",16745.0,5760.0,0.0,75.0,0.0,230.0,70.0,10.0,70.0,20.0,0.0
"University",79.0,"N/A",5440.0,460.0,0.0,20.0,60.0,245.0,0.0,10.0,20.0,0.0,0.0
"Palmerston-Little Italy",80.0,"N/A",13745.0,930.0,0.0,405.0,595.0,1140.0,15.0,0.0,55.0,25.0,0.0
"Trinity-Bellwoods",81.0,"N/A",16310.0,3090.0,0.0,80.0,380.0,2555.0,0.0,20.0,10.0,0.0,0.0
"Niagara",82.0,"N/A",14385.0,580.0,0.0,185.0,30.0,455.0,220.0,0.0,20.0,20.0,40.0
"Dufferin Grove",83.0,"N/A",11745.0,975.0,75.0,540.0,85.0,1670.0,40.0,35.0,100.0,10.0,25.0
"Little Portugal",84.0,"N/A",11770.0,1265.0,10.0,75.0,60.0,2830.0,0.0,10.0,0.0,0.0,70.0
"South Parkdale",85.0,"N/A",19840.0,800.0,580.0,355.0,30.0,180.0,500.0,60.0,15.0,140.0,85.0
"Roncesvalles",86.0,"N/A",14570.0,745.0,305.0,100.0,0.0,290.0,55.0,0.0,65.0,0.0,45.0
"High Park-Swansea",87.0,"N/A",19505.0,140.0,0.0,140.0,25.0,140.0,15.0,0.0,70.0,30.0,275.0
"High Park North",88.0,"N/A",20715.0,395.0,55.0,390.0,60.0,140.0,25.0,20.0,335.0,75.0,645.0
"Runnymede-Bloor West Village",89.0,"N/A",9555.0,90.0,0.0,90.0,55.0,10.0,50.0,0.0,0.0,0.0,50.0
"Junction Area",90.0,"N/A",13040.0,330.0,45.0,370.0,80.0,500.0,115.0,20.0,90.0,10.0,80.0
"Weston-Pellam Park",91.0,"N/A",12095.0,445.0,20.0,545.0,685.0,2055.0,40.0,10.0,30.0,0.0,20.0
