"Neighbourhood","Neighbourhood Id","Combined Indicators","Home Language Category","   Language - French","   Language - Chinese","   Language - Tamil","   Language - Italian","   Language - Spanish","   Language - Portuguese","   Language - Tagalog","   Language - Urdu","   Language - Russian","   Language - Persian (Farsi)","   Language - Korean"
"West Humber-Clairville",1.0,"N/A",32215.0,105.0,475.0,715.0,925.0,1100.0,205.0,850.0,715.0,15.0,160.0,95.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",31140.0,105.0,275.0,1420.0,750.0,820.0,115.0,345.0,1075.0,50.0,350.0,60.0
"Thistletown-Beaumond Heights",3.0,"N/A",9455.0,25.0,95.0,120.0,705.0,570.0,105.0,130.0,300.0,15.0,115.0,35.0
"Rexdale-Kipling",4.0,"N/A",9855.0,60.0,95.0,70.0,475.0,700.0,145.0,180.0,215.0,30.0,95.0,30.0
"Elms-Old Rexdale",5.0,"N/A",9190.0,15.0,90.0,60.0,510.0,670.0,80.0,195.0,140.0,30.0,285.0,55.0
"Kingsview Village-The Westway",6.0,"N/A",20845.0,130.0,315.0,215.0,1310.0,970.0,305.0,255.0,1285.0,150.0,475.0,185.0
"Willowridge-Martingrove-Richview",7.0,"N/A",20655.0,95.0,390.0,145.0,1745.0,760.0,370.0,250.0,485.0,130.0,105.0,320.0
"Humber Heights-Westmount",8.0,"N/A",9725.0,20.0,70.0,5.0,1090.0,405.0,315.0,40.0,55.0,200.0,45.0,85.0
"Edenbridge-Humber Valley",9.0,"N/A",14620.0,70.0,225.0,5.0,900.0,745.0,310.0,105.0,15.0,355.0,40.0,190.0
"Princess-Rosethorn",10.0,"N/A",10965.0,25.0,325.0,20.0,465.0,110.0,145.0,65.0,35.0,110.0,70.0,245.0
"Eringate-Centennial-West Deane",11.0,"N/A",18310.0,55.0,575.0,65.0,640.0,470.0,480.0,220.0,155.0,325.0,60.0,395.0
"Markland Wood",12.0,"N/A",10145.0,65.0,225.0,15.0,210.0,130.0,145.0,80.0,15.0,180.0,25.0,180.0
"Etobicoke West Mall",13.0,"N/A",10170.0,30.0,275.0,150.0,140.0,415.0,180.0,315.0,195.0,200.0,135.0,205.0
"Islington-City Centre West",14.0,"N/A",36420.0,205.0,1060.0,205.0,1125.0,970.0,820.0,705.0,355.0,790.0,250.0,1315.0
"Kingsway South",15.0,"N/A",9065.0,65.0,100.0,5.0,220.0,100.0,95.0,55.0,5.0,60.0,40.0,65.0
"Stonegate-Queensway",16.0,"N/A",23980.0,160.0,330.0,25.0,755.0,455.0,555.0,260.0,35.0,635.0,65.0,135.0
"Mimico",17.0,"N/A",25665.0,175.0,755.0,45.0,675.0,775.0,590.0,475.0,40.0,735.0,155.0,235.0
"New Toronto",18.0,"N/A",10455.0,75.0,155.0,30.0,75.0,240.0,145.0,295.0,35.0,160.0,20.0,115.0
"Long Branch",19.0,"N/A",9330.0,50.0,110.0,15.0,105.0,270.0,160.0,225.0,30.0,175.0,30.0,25.0
"Alderwood",20.0,"N/A",11565.0,35.0,180.0,15.0,590.0,160.0,425.0,260.0,10.0,190.0,20.0,40.0
"Humber Summit",21.0,"N/A",12045.0,25.0,125.0,130.0,2220.0,650.0,130.0,85.0,1160.0,15.0,105.0,15.0
"Humbermede",22.0,"N/A",15040.0,25.0,275.0,225.0,1270.0,1585.0,115.0,330.0,1045.0,25.0,40.0,115.0
"Pelmo Park-Humberlea",23.0,"N/A",8380.0,15.0,170.0,115.0,1505.0,605.0,410.0,120.0,25.0,5.0,30.0,25.0
"Black Creek",24.0,"N/A",20975.0,90.0,745.0,725.0,1050.0,1310.0,120.0,310.0,185.0,105.0,95.0,25.0
"Glenfield-Jane Heights",25.0,"N/A",30080.0,80.0,1445.0,485.0,3475.0,3695.0,355.0,485.0,125.0,90.0,215.0,40.0
"Downsview-Roding-CFB",26.0,"N/A",33265.0,115.0,730.0,200.0,5040.0,3470.0,835.0,1565.0,130.0,180.0,205.0,80.0
"York University Heights",27.0,"N/A",26340.0,115.0,1750.0,1175.0,2280.0,1475.0,285.0,930.0,580.0,430.0,370.0,265.0
"Rustic",28.0,"N/A",9625.0,15.0,140.0,190.0,1510.0,680.0,440.0,110.0,65.0,20.0,30.0,10.0
"Maple Leaf",29.0,"N/A",9605.0,25.0,100.0,105.0,2295.0,680.0,480.0,400.0,70.0,40.0,20.0,15.0
"Brookhaven-Amesbury",30.0,"N/A",16950.0,80.0,465.0,250.0,1210.0,1580.0,985.0,480.0,115.0,45.0,55.0,30.0
"Yorkdale-Glen Park",31.0,"N/A",13685.0,65.0,640.0,120.0,2950.0,625.0,810.0,605.0,60.0,85.0,70.0,50.0
"Englemount-Lawrence",32.0,"N/A",20580.0,80.0,285.0,45.0,545.0,630.0,335.0,1900.0,45.0,600.0,155.0,65.0
"Clanton Park",33.0,"N/A",13985.0,75.0,250.0,25.0,775.0,365.0,120.0,1705.0,15.0,585.0,60.0,115.0
"Bathurst Manor",34.0,"N/A",14755.0,50.0,340.0,30.0,870.0,475.0,210.0,840.0,15.0,1695.0,200.0,240.0
