"Neighbourhood","Neighbourhood Id","Combined Indicators","Mobility Category","   Non-Movers","   Movers"
"West Humber-Clairville",1.0,"N/A",31460.0,20635.0,10820.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",30105.0,16210.0,13895.0
"Thistletown-Beaumond Heights",3.0,"N/A",9380.0,6290.0,3085.0
"Rexdale-Kipling",4.0,"N/A",9705.0,6890.0,2815.0
"Elms-Old Rexdale",5.0,"N/A",8935.0,6200.0,2740.0
"Kingsview Village-The Westway",6.0,"N/A",20160.0,12555.0,7610.0
"Willowridge-Martingrove-Richview",7.0,"N/A",20295.0,13130.0,7170.0
"Humber Heights-Westmount",8.0,"N/A",9210.0,6070.0,3140.0
"Edenbridge-Humber Valley",9.0,"N/A",14310.0,9020.0,5290.0
"Princess-Rosethorn",10.0,"N/A",10735.0,7730.0,3005.0
"Eringate-Centennial-West Deane",11.0,"N/A",17920.0,13090.0,4835.0
"Markland Wood",12.0,"N/A",10090.0,7115.0,2975.0
"Etobicoke West Mall",13.0,"N/A",9870.0,6055.0,3815.0
"Islington-City Centre West",14.0,"N/A",35490.0,19625.0,15865.0
"Kingsway South",15.0,"N/A",8620.0,5905.0,2715.0
"Stonegate-Queensway",16.0,"N/A",23150.0,15380.0,7770.0
"Mimico",17.0,"N/A",25020.0,13420.0,11595.0
"New Toronto",18.0,"N/A",10110.0,5930.0,4180.0
"Long Branch",19.0,"N/A",9110.0,5215.0,3895.0
"Alderwood",20.0,"N/A",11255.0,8300.0,2955.0
"Humber Summit",21.0,"N/A",11800.0,8170.0,3635.0
"Humbermede",22.0,"N/A",14705.0,8590.0,6115.0
"Pelmo Park-Humberlea",23.0,"N/A",8135.0,6445.0,1685.0
"Black Creek",24.0,"N/A",20095.0,11410.0,8690.0
"Glenfield-Jane Heights",25.0,"N/A",28960.0,18415.0,10540.0
"Downsview-Roding-CFB",26.0,"N/A",32330.0,19135.0,13200.0
"York University Heights",27.0,"N/A",25665.0,13515.0,12145.0
"Rustic",28.0,"N/A",9065.0,6320.0,2745.0
"Maple Leaf",29.0,"N/A",9375.0,6225.0,3145.0
