"Neighbourhood","Neighbourhood Id","Combined Indicators","Pop - Males","Pop - Females","Pop 0 - 4 years","Pop 5 - 9 years","Pop 10 - 14 years","Pop 15 -19 years","Pop 20 - 24 years","Pop  25 - 29 years","Pop 30 - 34 years","Pop 35 - 39 years","Pop 40 - 44 years","Pop 45 - 49 years","Pop 50 - 54 years","Pop 55 - 59 years","Pop 60 - 64 years","Pop 65 - 69 years","Pop 70 - 74 years","Pop 75 - 79 years","Pop 80 - 84 years","Pop 85 years and over"
"West Humber-Clairville",1.0,"N/A",16295.0,15960.0,2005.0,2135.0,2325.0,2180.0,2565.0,2465.0,2400.0,2440.0,2595.0,2375.0,1955.0,1800.0,1415.0,1150.0,1015.0,715.0,465.0,305.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",15900.0,16230.0,2680.0,2680.0,2685.0,2285.0,2410.0,2590.0,2675.0,2605.0,2450.0,2130.0,1700.0,1495.0,1200.0,910.0,775.0,500.0,270.0,145.0
"Thistletown-Beaumond Heights",3.0,"N/A",4900.0,5035.0,615.0,625.0,645.0,630.0,655.0,650.0,650.0,730.0,790.0,735.0,590.0,520.0,420.0,400.0,425.0,385.0,255.0,190.0
"Rexdale-Kipling",4.0,"N/A",5205.0,5525.0,580.0,645.0,665.0,640.0,630.0,600.0,705.0,815.0,840.0,810.0,720.0,600.0,505.0,435.0,460.0,435.0,345.0,285.0
"Elms-Old Rexdale",5.0,"N/A",4615.0,4820.0,725.0,700.0,745.0,655.0,615.0,645.0,640.0,735.0,740.0,750.0,585.0,505.0,385.0,310.0,275.0,205.0,150.0,55.0
"Kingsview Village-The Westway",6.0,"N/A",10265.0,11130.0,1500.0,1445.0,1360.0,1300.0,1445.0,1405.0,1490.0,1510.0,1635.0,1515.0,1345.0,1205.0,870.0,850.0,875.0,785.0,555.0,290.0
"Willowridge-Martingrove-Richview",7.0,"N/A",10020.0,10880.0,1035.0,1140.0,1205.0,1325.0,1265.0,1080.0,1145.0,1375.0,1555.0,1610.0,1380.0,1225.0,950.0,1015.0,1160.0,1075.0,865.0,500.0
"Humber Heights-Westmount",8.0,"N/A",4715.0,5815.0,510.0,500.0,595.0,540.0,505.0,470.0,590.0,690.0,790.0,720.0,620.0,595.0,450.0,505.0,585.0,620.0,710.0,545.0
"Edenbridge-Humber Valley",9.0,"N/A",6835.0,7620.0,570.0,720.0,875.0,1005.0,975.0,835.0,735.0,940.0,1185.0,1170.0,1160.0,985.0,720.0,635.0,635.0,550.0,415.0,320.0
"Princess-Rosethorn",10.0,"N/A",5330.0,5625.0,380.0,580.0,850.0,905.0,710.0,420.0,290.0,545.0,945.0,1030.0,965.0,785.0,560.0,420.0,445.0,460.0,420.0,235.0
"Eringate-Centennial-West Deane",11.0,"N/A",8830.0,9690.0,750.0,990.0,1215.0,1225.0,1150.0,915.0,875.0,1190.0,1525.0,1560.0,1440.0,1260.0,905.0,915.0,960.0,825.0,555.0,250.0
"Markland Wood",12.0,"N/A",4725.0,5515.0,385.0,445.0,535.0,585.0,575.0,445.0,340.0,585.0,740.0,890.0,780.0,700.0,610.0,550.0,635.0,605.0,510.0,330.0
"Etobicoke West Mall",13.0,"N/A",4985.0,5695.0,535.0,600.0,675.0,715.0,645.0,630.0,645.0,800.0,895.0,860.0,715.0,590.0,460.0,400.0,410.0,440.0,370.0,305.0
"Islington-City Centre West",14.0,"N/A",15520.0,17310.0,1590.0,1655.0,1765.0,1880.0,1975.0,2185.0,2270.0,2440.0,2685.0,2615.0,2360.0,1960.0,1410.0,1270.0,1270.0,1390.0,1225.0,855.0
"Kingsway South",15.0,"N/A",4165.0,4625.0,525.0,620.0,550.0,530.0,475.0,300.0,315.0,590.0,780.0,700.0,730.0,620.0,490.0,365.0,340.0,330.0,280.0,240.0
"Stonegate-Queensway",16.0,"N/A",11450.0,12360.0,1235.0,1250.0,1215.0,1215.0,1125.0,1190.0,1615.0,1940.0,2275.0,2095.0,1840.0,1640.0,1010.0,920.0,880.0,835.0,895.0,595.0
"Mimico",17.0,"N/A",12240.0,12730.0,1155.0,870.0,1005.0,1020.0,1280.0,1850.0,2415.0,2255.0,2415.0,2265.0,1995.0,1730.0,1330.0,1050.0,795.0,730.0,480.0,290.0
"New Toronto",18.0,"N/A",5150.0,5500.0,555.0,540.0,595.0,575.0,735.0,685.0,795.0,880.0,1015.0,935.0,845.0,645.0,460.0,390.0,345.0,270.0,225.0,200.0
"Long Branch",19.0,"N/A",4710.0,4910.0,520.0,480.0,500.0,490.0,610.0,615.0,675.0,865.0,925.0,900.0,820.0,705.0,450.0,305.0,245.0,245.0,190.0,120.0
"Alderwood",20.0,"N/A",5655.0,6000.0,480.0,520.0,620.0,735.0,665.0,675.0,695.0,815.0,1060.0,1060.0,945.0,755.0,545.0,465.0,470.0,495.0,415.0,245.0
"Humber Summit",21.0,"N/A",6325.0,6435.0,795.0,910.0,905.0,755.0,785.0,890.0,885.0,1015.0,990.0,725.0,650.0,650.0,650.0,720.0,655.0,455.0,205.0,100.0
"Humbermede",22.0,"N/A",7300.0,7480.0,1045.0,1075.0,1050.0,980.0,1020.0,1110.0,1125.0,1175.0,1130.0,1040.0,805.0,750.0,560.0,590.0,510.0,435.0,290.0,100.0
"Pelmo Park-Humberlea",23.0,"N/A",4250.0,4475.0,540.0,525.0,540.0,530.0,475.0,550.0,570.0,745.0,735.0,695.0,535.0,460.0,370.0,460.0,390.0,305.0,180.0,130.0
"Black Creek",24.0,"N/A",10375.0,11340.0,1810.0,1805.0,1715.0,1595.0,1790.0,1515.0,1470.0,1690.0,1680.0,1465.0,1165.0,960.0,775.0,785.0,625.0,445.0,270.0,175.0
"Glenfield-Jane Heights",25.0,"N/A",14705.0,16175.0,2095.0,2375.0,2450.0,2030.0,2105.0,2030.0,1960.0,2325.0,2400.0,2140.0,1660.0,1520.0,1335.0,1395.0,1320.0,975.0,560.0,250.0
"Downsview-Roding-CFB",26.0,"N/A",15430.0,16570.0,2000.0,1830.0,1835.0,1775.0,2190.0,2305.0,2290.0,2415.0,2735.0,2445.0,2015.0,1700.0,1380.0,1385.0,1365.0,1150.0,775.0,425.0
"York University Heights",27.0,"N/A",12785.0,13345.0,1630.0,1455.0,1425.0,1550.0,2700.0,2455.0,2290.0,2100.0,2020.0,1730.0,1355.0,1240.0,935.0,985.0,890.0,650.0,425.0,235.0
"Rustic",28.0,"N/A",4510.0,5530.0,715.0,880.0,710.0,605.0,595.0,610.0,625.0,690.0,720.0,650.0,480.0,450.0,430.0,425.0,485.0,410.0,270.0,280.0
"Maple Leaf",29.0,"N/A",5040.0,5230.0,535.0,605.0,555.0,500.0,580.0,730.0,725.0,755.0,860.0,740.0,540.0,505.0,445.0,570.0,595.0,510.0,330.0,185.0
"Brookhaven-Amesbury",30.0,"N/A",8230.0,9095.0,1265.0,1255.0,1255.0,1205.0,1275.0,1240.0,1255.0,1425.0,1490.0,1360.0,1035.0,820.0,605.0,550.0,495.0,420.0,240.0,155.0
"Yorkdale-Glen Park",31.0,"N/A",6895.0,7925.0,660.0,780.0,795.0,750.0,915.0,915.0,860.0,1095.0,1150.0,1075.0,860.0,745.0,650.0,750.0,810.0,810.0,675.0,545.0
