"Neighbourhood","Neighbourhood Id","Combined Indicators","Pop - Males","Pop - Females","Pop 0 - 4 years","Pop 5 - 9 years","Pop 10 - 14 years","Pop 15 -19 years","Pop 20 - 24 years","Pop  25 - 29 years","Pop 30 - 34 years","Pop 35 - 39 years","Pop 40 - 44 years","Pop 45 - 49 years","Pop 50 - 54 years","Pop 55 - 59 years","Pop 60 - 64 years","Pop 65 - 69 years","Pop 70 - 74 years","Pop 75 - 79 years","Pop 80 - 84 years","Pop 85 years and over"
"West Humber-Clairville",1.0,"N/A",17095.0,17000.0,1865.0,1950.0,2155.0,2550.0,2855.0,2755.0,2360.0,2175.0,2445.0,2545.0,2360.0,1975.0,1780.0,1345.0,1070.0,895.0,585.0,410.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",16015.0,16765.0,2575.0,2535.0,2555.0,2620.0,2400.0,2335.0,2355.0,2530.0,2500.0,2370.0,2050.0,1610.0,1360.0,1055.0,775.0,605.0,340.0,170.0
"Thistletown-Beaumond Heights",3.0,"N/A",4920.0,5225.0,575.0,580.0,670.0,675.0,675.0,675.0,600.0,640.0,745.0,780.0,690.0,565.0,515.0,420.0,370.0,405.0,290.0,260.0
"Rexdale-Kipling",4.0,"N/A",5035.0,5455.0,495.0,520.0,570.0,665.0,650.0,645.0,600.0,645.0,745.0,825.0,865.0,710.0,630.0,455.0,415.0,385.0,360.0,300.0
"Elms-Old Rexdale",5.0,"N/A",4615.0,4935.0,670.0,720.0,720.0,725.0,655.0,570.0,595.0,600.0,750.0,720.0,710.0,545.0,475.0,350.0,265.0,235.0,145.0,100.0
"Kingsview Village-The Westway",6.0,"N/A",10310.0,11415.0,1515.0,1470.0,1480.0,1460.0,1435.0,1385.0,1285.0,1415.0,1490.0,1630.0,1430.0,1220.0,1095.0,845.0,780.0,750.0,605.0,440.0
"Willowridge-Martingrove-Richview",7.0,"N/A",10190.0,11145.0,1110.0,1070.0,1195.0,1320.0,1355.0,1235.0,1105.0,1190.0,1460.0,1570.0,1635.0,1355.0,1220.0,925.0,910.0,1025.0,895.0,760.0
"Humber Heights-Westmount",8.0,"N/A",4740.0,5840.0,495.0,495.0,485.0,615.0,530.0,520.0,560.0,585.0,670.0,800.0,750.0,655.0,595.0,460.0,505.0,555.0,570.0,750.0
"Edenbridge-Humber Valley",9.0,"N/A",7075.0,7865.0,570.0,755.0,855.0,900.0,960.0,915.0,745.0,825.0,1045.0,1225.0,1250.0,1140.0,955.0,720.0,590.0,565.0,485.0,450.0
"Princess-Rosethorn",10.0,"N/A",5470.0,5730.0,405.0,610.0,735.0,950.0,800.0,430.0,370.0,460.0,770.0,1045.0,1070.0,925.0,710.0,505.0,395.0,370.0,335.0,320.0
"Eringate-Centennial-West Deane",11.0,"N/A",8985.0,9835.0,830.0,845.0,1085.0,1370.0,1180.0,940.0,855.0,920.0,1355.0,1635.0,1660.0,1360.0,1155.0,885.0,840.0,840.0,615.0,465.0
"Markland Wood",12.0,"N/A",4860.0,5585.0,335.0,475.0,545.0,590.0,575.0,490.0,385.0,455.0,700.0,860.0,910.0,830.0,700.0,590.0,510.0,555.0,495.0,420.0
"Etobicoke West Mall",13.0,"N/A",5100.0,5830.0,585.0,565.0,630.0,720.0,705.0,650.0,625.0,700.0,795.0,920.0,870.0,700.0,570.0,370.0,370.0,380.0,365.0,435.0
