"Neighbourhood","Neighbourhood Id","Combined Indicators","Recent Immigrants","Recent Immigrants Category","   Caribbean/Central/S. America","   Europe","   Africa","   West Asia/Middle East","   Eastern Asia","   South East Asia","   Southern Asia"
"West Humber-Clairville",1.0,"N/A",3825.0,3825.0,580.0,105.0,425.0,35.0,70.0,190.0,2355.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",7125.0,7125.0,805.0,45.0,755.0,890.0,110.0,115.0,4355.0
"Thistletown-Beaumond Heights",3.0,"N/A",950.0,950.0,60.0,40.0,130.0,145.0,10.0,20.0,525.0
"Rexdale-Kipling",4.0,"N/A",860.0,865.0,125.0,100.0,60.0,105.0,0.0,65.0,380.0
"Elms-Old Rexdale",5.0,"N/A",925.0,925.0,125.0,35.0,285.0,75.0,40.0,90.0,275.0
"Kingsview Village-The Westway",6.0,"N/A",2890.0,2885.0,245.0,305.0,500.0,250.0,230.0,100.0,1210.0
"Willowridge-Martingrove-Richview",7.0,"N/A",2020.0,2025.0,200.0,420.0,140.0,35.0,140.0,140.0,930.0
"Humber Heights-Westmount",8.0,"N/A",840.0,835.0,210.0,355.0,65.0,130.0,10.0,30.0,30.0
"Edenbridge-Humber Valley",9.0,"N/A",1400.0,1405.0,135.0,975.0,20.0,20.0,145.0,35.0,25.0
"Princess-Rosethorn",10.0,"N/A",500.0,500.0,10.0,160.0,20.0,10.0,130.0,40.0,115.0
"Eringate-Centennial-West Deane",11.0,"N/A",785.0,790.0,35.0,265.0,45.0,95.0,135.0,25.0,170.0
"Markland Wood",12.0,"N/A",550.0,545.0,40.0,350.0,0.0,25.0,90.0,25.0,15.0
"Etobicoke West Mall",13.0,"N/A",1355.0,1355.0,95.0,360.0,25.0,170.0,205.0,120.0,360.0
"Islington-City Centre West",14.0,"N/A",3555.0,3565.0,230.0,1010.0,210.0,475.0,550.0,380.0,675.0
"Kingsway South",15.0,"N/A",105.0,100.0,0.0,30.0,0.0,25.0,25.0,0.0,10.0
"Stonegate-Queensway",16.0,"N/A",1745.0,1745.0,220.0,1235.0,10.0,80.0,40.0,30.0,65.0
"Mimico",17.0,"N/A",1910.0,1910.0,170.0,930.0,135.0,75.0,170.0,170.0,185.0
"New Toronto",18.0,"N/A",600.0,595.0,45.0,110.0,80.0,50.0,70.0,115.0,125.0
"Long Branch",19.0,"N/A",710.0,715.0,65.0,280.0,95.0,55.0,90.0,35.0,75.0
"Alderwood",20.0,"N/A",290.0,285.0,70.0,125.0,0.0,10.0,25.0,25.0,30.0
"Humber Summit",21.0,"N/A",1795.0,1790.0,130.0,10.0,105.0,160.0,30.0,40.0,1275.0
"Humbermede",22.0,"N/A",2345.0,2350.0,485.0,35.0,145.0,100.0,65.0,120.0,1385.0
"Pelmo Park-Humberlea",23.0,"N/A",440.0,440.0,135.0,40.0,125.0,20.0,10.0,65.0,35.0
"Black Creek",24.0,"N/A",2765.0,2760.0,755.0,65.0,515.0,460.0,100.0,300.0,585.0
"Glenfield-Jane Heights",25.0,"N/A",3005.0,3000.0,1060.0,95.0,400.0,325.0,75.0,460.0,595.0
"Downsview-Roding-CFB",26.0,"N/A",2985.0,2985.0,820.0,200.0,310.0,385.0,110.0,460.0,575.0
"York University Heights",27.0,"N/A",4135.0,4135.0,515.0,230.0,275.0,275.0,950.0,315.0,1480.0
"Rustic",28.0,"N/A",745.0,740.0,250.0,25.0,195.0,50.0,0.0,125.0,85.0
"Maple Leaf",29.0,"N/A",1105.0,1105.0,150.0,70.0,20.0,10.0,0.0,115.0,700.0
"Brookhaven-Amesbury",30.0,"N/A",2085.0,2090.0,610.0,50.0,475.0,160.0,95.0,185.0,505.0
"Yorkdale-Glen Park",31.0,"N/A",1040.0,1040.0,205.0,215.0,110.0,25.0,60.0,345.0,60.0
"Englemount-Lawrence",32.0,"N/A",1895.0,1890.0,225.0,360.0,115.0,275.0,45.0,670.0,35.0
"Clanton Park",33.0,"N/A",1305.0,1305.0,100.0,280.0,75.0,125.0,65.0,560.0,50.0
"Bathurst Manor",34.0,"N/A",2145.0,2145.0,210.0,830.0,10.0,570.0,115.0,205.0,175.0
"Westminster-Branson",35.0,"N/A",5855.0,5850.0,290.0,2885.0,150.0,1335.0,440.0,560.0,180.0
"Newtonbrook West",36.0,"N/A",3780.0,3780.0,180.0,1070.0,30.0,1145.0,585.0,500.0,280.0
"Willowdale West",37.0,"N/A",1195.0,1190.0,80.0,355.0,20.0,315.0,200.0,155.0,60.0
"Lansing-Westgate",38.0,"N/A",1885.0,1885.0,110.0,455.0,35.0,500.0,390.0,175.0,110.0
"Bedford Park-Nortown",39.0,"N/A",775.0,775.0,45.0,155.0,80.0,90.0,45.0,265.0,0.0
"St.Andrew-Windfields",40.0,"N/A",1860.0,1860.0,140.0,250.0,40.0,315.0,975.0,35.0,75.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",145.0,135.0,20.0,65.0,0.0,15.0,0.0,10.0,0.0
"Banbury-Don Mills",42.0,"N/A",2400.0,2405.0,150.0,300.0,100.0,545.0,690.0,165.0,335.0
"Victoria Village",43.0,"N/A",2090.0,2090.0,215.0,220.0,145.0,395.0,255.0,245.0,565.0
"Flemingdon Park",44.0,"N/A",4890.0,4895.0,195.0,560.0,325.0,895.0,685.0,435.0,1725.0
"Parkwoods-Donalda",45.0,"N/A",5685.0,5685.0,485.0,880.0,585.0,885.0,1035.0,355.0,1365.0
"Pleasant View",46.0,"N/A",2925.0,2920.0,40.0,110.0,65.0,315.0,1950.0,110.0,310.0
"Don Valley Village",47.0,"N/A",6960.0,6960.0,220.0,920.0,200.0,1440.0,2760.0,590.0,760.0
"Hillcrest Village",48.0,"N/A",2345.0,2345.0,40.0,135.0,70.0,220.0,1685.0,15.0,150.0
"Bayview Woods-Steeles",49.0,"N/A",1695.0,1700.0,70.0,190.0,50.0,345.0,935.0,40.0,20.0
"Newtonbrook East",50.0,"N/A",2255.0,2255.0,40.0,110.0,20.0,835.0,960.0,170.0,95.0
"Willowdale East",51.0,"N/A",6425.0,6425.0,465.0,540.0,95.0,1830.0,2820.0,345.0,260.0
"Bayview Village",52.0,"N/A",2020.0,2020.0,160.0,335.0,35.0,390.0,815.0,145.0,105.0
"Henry Farm",53.0,"N/A",3705.0,3705.0,115.0,370.0,215.0,585.0,1200.0,245.0,920.0
"O'Connor-Parkview",54.0,"N/A",1930.0,1930.0,50.0,180.0,85.0,225.0,70.0,210.0,1070.0
"Thorncliffe Park",55.0,"N/A",5575.0,5570.0,40.0,320.0,145.0,855.0,110.0,360.0,3655.0
"Leaside-Bennington",56.0,"N/A",400.0,395.0,0.0,95.0,10.0,40.0,50.0,90.0,40.0
"Broadview North",57.0,"N/A",1300.0,1300.0,85.0,960.0,10.0,70.0,40.0,80.0,55.0
"Old East York",58.0,"N/A",410.0,405.0,20.0,115.0,0.0,55.0,40.0,85.0,95.0
"Danforth-East York",59.0,"N/A",815.0,810.0,100.0,230.0,50.0,75.0,75.0,70.0,160.0
"Woodbine-Lumsden",60.0,"N/A",345.0,345.0,25.0,60.0,0.0,90.0,55.0,35.0,40.0
"Taylor-Massey",61.0,"N/A",3650.0,3650.0,40.0,480.0,130.0,205.0,415.0,145.0,2210.0
"East End-Danforth",62.0,"N/A",1100.0,1090.0,60.0,115.0,55.0,95.0,190.0,85.0,430.0
"The Beaches",63.0,"N/A",575.0,580.0,20.0,275.0,15.0,20.0,70.0,35.0,0.0
"Woodbine Corridor",64.0,"N/A",515.0,520.0,55.0,75.0,40.0,25.0,135.0,20.0,95.0
"Greenwood-Coxwell",65.0,"N/A",960.0,965.0,50.0,75.0,65.0,10.0,235.0,140.0,350.0
"Danforth",66.0,"N/A",465.0,465.0,80.0,65.0,50.0,25.0,50.0,10.0,135.0
"Playter Estates-Danforth",67.0,"N/A",335.0,340.0,60.0,95.0,10.0,10.0,10.0,85.0,45.0
"North Riverdale",68.0,"N/A",450.0,450.0,25.0,120.0,10.0,0.0,225.0,30.0,0.0
"Blake-Jones",69.0,"N/A",355.0,350.0,0.0,40.0,50.0,20.0,210.0,10.0,15.0
"South Riverdale",70.0,"N/A",1960.0,1950.0,105.0,95.0,40.0,10.0,1425.0,125.0,75.0
"Cabbagetown-South St.James Town",71.0,"N/A",635.0,630.0,85.0,230.0,0.0,10.0,100.0,85.0,85.0
"Regent Park",72.0,"N/A",1535.0,1540.0,100.0,15.0,165.0,15.0,640.0,45.0,550.0
"Moss Park",73.0,"N/A",1255.0,600.0,100.0,70.0,140.0,20.0,135.0,45.0,60.0
"North St.James Town",74.0,"N/A",3685.0,3680.0,185.0,515.0,300.0,140.0,550.0,795.0,1165.0
"Church-Yonge Corridor",75.0,"N/A",1975.0,1975.0,435.0,370.0,105.0,145.0,465.0,145.0,200.0
"Bay Street Corridor",76.0,"N/A",1845.0,1840.0,80.0,155.0,60.0,295.0,820.0,140.0,225.0
"Waterfront Communities-The Island",77.0,"N/A",1640.0,1630.0,205.0,385.0,205.0,155.0,245.0,105.0,255.0
"Kensington-Chinatown",78.0,"N/A",2245.0,2245.0,120.0,70.0,55.0,90.0,1545.0,90.0,215.0
