"Neighbourhood","Neighbourhood Id","Combined Indicators","Recent Immigrants Category","   Southern Asia","   South East Asia","   Eastern Asia","   West Asia/Middle East","   Africa","   Europe","   Caribbean/Central/S. America"
"West Humber-Clairville",1.0,"N/A",2750.0,1495.0,250.0,65.0,0.0,260.0,40.0,530.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",5850.0,2625.0,120.0,0.0,1380.0,830.0,75.0,710.0
"Thistletown-Beaumond Heights",3.0,"N/A",1070.0,400.0,80.0,0.0,195.0,130.0,15.0,190.0
"Rexdale-Kipling",4.0,"N/A",800.0,405.0,20.0,35.0,0.0,0.0,50.0,255.0
"Elms-Old Rexdale",5.0,"N/A",545.0,80.0,50.0,0.0,30.0,90.0,55.0,205.0
"Kingsview Village-The Westway",6.0,"N/A",1890.0,525.0,190.0,0.0,90.0,550.0,120.0,240.0
"Willowridge-Martingrove-Richview",7.0,"N/A",1225.0,300.0,60.0,55.0,65.0,245.0,280.0,175.0
"Humber Heights-Westmount",8.0,"N/A",400.0,0.0,15.0,0.0,0.0,55.0,210.0,85.0
"Edenbridge-Humber Valley",9.0,"N/A",755.0,15.0,35.0,20.0,0.0,65.0,185.0,325.0
"Princess-Rosethorn",10.0,"N/A",495.0,80.0,40.0,105.0,0.0,55.0,120.0,65.0
"Eringate-Centennial-West Deane",11.0,"N/A",605.0,135.0,0.0,30.0,0.0,75.0,175.0,115.0
"Markland Wood",12.0,"N/A",310.0,0.0,55.0,0.0,0.0,0.0,200.0,20.0
"Etobicoke West Mall",13.0,"N/A",885.0,30.0,140.0,0.0,115.0,35.0,325.0,75.0
"Islington-City Centre West",14.0,"N/A",3305.0,675.0,380.0,305.0,155.0,180.0,885.0,505.0
"Kingsway South",15.0,"N/A",130.0,0.0,0.0,20.0,0.0,0.0,25.0,10.0
"Stonegate-Queensway",16.0,"N/A",1480.0,125.0,30.0,65.0,75.0,35.0,670.0,345.0
"Mimico",17.0,"N/A",1570.0,95.0,175.0,125.0,20.0,70.0,665.0,250.0
"New Toronto",18.0,"N/A",485.0,20.0,45.0,20.0,30.0,95.0,130.0,80.0
"Long Branch",19.0,"N/A",505.0,0.0,90.0,0.0,0.0,0.0,160.0,155.0
"Alderwood",20.0,"N/A",375.0,0.0,75.0,0.0,0.0,15.0,205.0,45.0
"Humber Summit",21.0,"N/A",1055.0,590.0,30.0,0.0,180.0,40.0,0.0,140.0
"Humbermede",22.0,"N/A",1890.0,625.0,250.0,0.0,115.0,260.0,15.0,555.0
"Pelmo Park-Humberlea",23.0,"N/A",225.0,0.0,35.0,0.0,0.0,0.0,15.0,85.0
"Black Creek",24.0,"N/A",2700.0,275.0,325.0,0.0,610.0,555.0,110.0,565.0
"Glenfield-Jane Heights",25.0,"N/A",2755.0,485.0,425.0,30.0,300.0,235.0,95.0,1000.0
"Downsview-Roding-CFB",26.0,"N/A",3600.0,220.0,1300.0,45.0,185.0,360.0,190.0,1105.0
"York University Heights",27.0,"N/A",3165.0,700.0,515.0,305.0,380.0,445.0,215.0,455.0
"Rustic",28.0,"N/A",425.0,45.0,60.0,0.0,0.0,105.0,0.0,195.0
"Maple Leaf",29.0,"N/A",930.0,375.0,325.0,0.0,0.0,20.0,0.0,160.0
"Brookhaven-Amesbury",30.0,"N/A",1550.0,130.0,300.0,0.0,70.0,265.0,125.0,595.0
"Yorkdale-Glen Park",31.0,"N/A",825.0,80.0,310.0,45.0,0.0,35.0,80.0,175.0
"Englemount-Lawrence",32.0,"N/A",2630.0,30.0,1635.0,0.0,125.0,70.0,165.0,190.0
"Clanton Park",33.0,"N/A",1470.0,0.0,1010.0,25.0,0.0,70.0,215.0,40.0
"Bathurst Manor",34.0,"N/A",1690.0,105.0,440.0,30.0,265.0,25.0,520.0,195.0
"Westminster-Branson",35.0,"N/A",4840.0,75.0,1730.0,75.0,565.0,25.0,1600.0,130.0
"Newtonbrook West",36.0,"N/A",4205.0,105.0,1700.0,550.0,985.0,0.0,485.0,65.0
"Willowdale West",37.0,"N/A",1535.0,85.0,80.0,385.0,570.0,25.0,215.0,80.0
"Lansing-Westgate",38.0,"N/A",1760.0,65.0,195.0,275.0,515.0,0.0,445.0,100.0
"Bedford Park-Nortown",39.0,"N/A",1340.0,0.0,675.0,55.0,85.0,140.0,145.0,55.0
"St.Andrew-Windfields",40.0,"N/A",1590.0,135.0,55.0,650.0,340.0,30.0,185.0,130.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",350.0,0.0,35.0,40.0,35.0,30.0,70.0,10.0
"Banbury-Don Mills",42.0,"N/A",2060.0,170.0,265.0,585.0,325.0,120.0,260.0,175.0
"Victoria Village",43.0,"N/A",1610.0,355.0,320.0,40.0,185.0,215.0,110.0,225.0
"Flemingdon Park",44.0,"N/A",3045.0,1255.0,220.0,215.0,410.0,275.0,205.0,235.0
"Parkwoods-Donalda",45.0,"N/A",3910.0,685.0,690.0,300.0,510.0,350.0,525.0,515.0
"Pleasant View",46.0,"N/A",1615.0,180.0,0.0,955.0,85.0,65.0,80.0,120.0
"Don Valley Village",47.0,"N/A",4365.0,455.0,525.0,1440.0,1000.0,75.0,355.0,225.0
"Hillcrest Village",48.0,"N/A",1360.0,110.0,20.0,895.0,60.0,30.0,65.0,80.0
"Bayview Woods-Steeles",49.0,"N/A",980.0,55.0,0.0,400.0,300.0,75.0,80.0,20.0
"Newtonbrook East",50.0,"N/A",1925.0,110.0,100.0,790.0,745.0,35.0,70.0,0.0
"Willowdale East",51.0,"N/A",6650.0,270.0,155.0,2980.0,1985.0,215.0,375.0,400.0
"Bayview Village",52.0,"N/A",2010.0,125.0,155.0,625.0,450.0,25.0,230.0,210.0
"Henry Farm",53.0,"N/A",2555.0,510.0,605.0,430.0,385.0,75.0,155.0,90.0
"O'Connor-Parkview",54.0,"N/A",1300.0,440.0,230.0,50.0,30.0,145.0,75.0,205.0
"Thorncliffe Park",55.0,"N/A",4165.0,2385.0,275.0,40.0,420.0,230.0,405.0,140.0
