"Neighbourhood","Neighbourhood Id","Combined Indicators","TCHC Facility Amenities","PFR Program Registrations","PFR Program Free Registrations","PFR Community Space Use","PFR Permits Issued","Sports Facilities"
"West Humber-Clairville",1.0,"N/A",3.0,5762.0,25.0,1344.0,2461.0,38.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",8.0,5057.0,4422.0,3397.0,4760.0,32.0
"Thistletown-Beaumond Heights",3.0,"N/A",3.0,3111.0,213.0,1027.0,1833.0,9.0
"Rexdale-Kipling",4.0,"N/A",0.0,80.0,2.0,2.0,447.0,10.0
"Elms-Old Rexdale",5.0,"N/A",3.0,5900.0,75.0,262.0,2698.0,17.0
"Kingsview Village-The Westway",6.0,"N/A",2.0,50.0,2680.0,153.0,339.0,13.0
"Willowridge-Martingrove-Richview",7.0,"N/A",3.0,7350.0,100.0,1.0,2323.0,44.0
"Humber Heights-Westmount",8.0,"N/A",7.0,197.0,0.0,0.0,148.0,7.0
"Edenbridge-Humber Valley",9.0,"N/A",0.0,1949.0,29.0,0.0,1836.0,11.0
"Princess-Rosethorn",10.0,"N/A",0.0,2808.0,0.0,0.0,1771.0,19.0
"Eringate-Centennial-West Deane",11.0,"N/A",3.0,13739.0,445.0,5363.0,16250.0,38.0
"Markland Wood",12.0,"N/A",0.0,3385.0,35.0,0.0,462.0,12.0
"Etobicoke West Mall",13.0,"N/A",1.0,458.0,137.0,0.0,2549.0,7.0
"Islington-City Centre West",14.0,"N/A",14.0,3718.0,280.0,0.0,65.0,20.0
"Kingsway South",15.0,"N/A",0.0,9906.0,152.0,807.0,3424.0,12.0
"Stonegate-Queensway",16.0,"N/A",0.0,10080.0,1625.0,977.0,2909.0,29.0
"Mimico",17.0,"N/A",8.0,4113.0,16.0,1632.0,5257.0,30.0
"New Toronto",18.0,"N/A",5.0,2123.0,304.0,794.0,2386.0,20.0
"Long Branch",19.0,"N/A",0.0,1976.0,0.0,4.0,909.0,14.0
"Alderwood",20.0,"N/A",0.0,3936.0,0.0,132.0,1255.0,16.0
"Humber Summit",21.0,"N/A",2.0,2238.0,100.0,835.0,1609.0,17.0
"Humbermede",22.0,"N/A",0.0,3318.0,234.0,2351.0,3280.0,38.0
"Pelmo Park-Humberlea",23.0,"N/A",2.0,192.0,0.0,803.0,1154.0,11.0
"Black Creek",24.0,"N/A",13.0,62.0,3311.0,4219.0,6217.0,34.0
"Glenfield-Jane Heights",25.0,"N/A",11.0,2852.0,3675.0,5688.0,6192.0,41.0
"Downsview-Roding-CFB",26.0,"N/A",5.0,5093.0,1548.0,2690.0,4209.0,65.0
"York University Heights",27.0,"N/A",1.0,3697.0,393.0,2431.0,4812.0,47.0
"Rustic",28.0,"N/A",3.0,2202.0,2091.0,397.0,398.0,26.0
"Maple Leaf",29.0,"N/A",0.0,0.0,0.0,0.0,0.0,0.0
"Brookhaven-Amesbury",30.0,"N/A",3.0,2237.0,805.0,1443.0,3103.0,17.0
"Yorkdale-Glen Park",31.0,"N/A",0.0,1968.0,81.0,366.0,1269.0,27.0
"Englemount-Lawrence",32.0,"N/A",6.0,3459.0,1781.0,1717.0,3624.0,29.0
"Clanton Park",33.0,"N/A",1.0,436.0,0.0,0.0,100.0,14.0
"Bathurst Manor",34.0,"N/A",2.0,1311.0,25.0,699.0,1128.0,21.0
"Westminster-Branson",35.0,"N/A",1.0,6157.0,1256.0,3169.0,5700.0,25.0
"Newtonbrook West",36.0,"N/A",0.0,3534.0,0.0,2388.0,6502.0,40.0
"Willowdale West",37.0,"N/A",0.0,1563.0,205.0,4023.0,4255.0,20.0
"Lansing-Westgate",38.0,"N/A",0.0,14622.0,392.0,2181.0,4091.0,9.0
"Bedford Park-Nortown",39.0,"N/A",1.0,546.0,35.0,2777.0,2784.0,15.0
"St.Andrew-Windfields",40.0,"N/A",0.0,78.0,0.0,412.0,2518.0,22.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",0.0,1006.0,0.0,196.0,3212.0,8.0
"Banbury-Don Mills",42.0,"N/A",0.0,5439.0,41.0,2712.0,9753.0,53.0
"Victoria Village",43.0,"N/A",1.0,802.0,655.0,205.0,1963.0,21.0
"Flemingdon Park",44.0,"N/A",3.0,477.0,6967.0,3975.0,4734.0,33.0
"Parkwoods-Donalda",45.0,"N/A",3.0,3623.0,3.0,899.0,5626.0,54.0
"Pleasant View",46.0,"N/A",0.0,2911.0,0.0,2084.0,4758.0,25.0
"Don Valley Village",47.0,"N/A",3.0,5774.0,318.0,2711.0,6783.0,43.0
"Hillcrest Village",48.0,"N/A",5.0,10739.0,198.0,1825.0,4613.0,35.0
"Bayview Woods-Steeles",49.0,"N/A",3.0,905.0,15.0,225.0,873.0,16.0
"Newtonbrook East",50.0,"N/A",0.0,0.0,0.0,0.0,767.0,17.0
"Willowdale East",51.0,"N/A",4.0,4342.0,390.0,1831.0,3489.0,31.0
