"Neighbourhood","Neighbourhood Id","Combined Indicators","PFR Program Registrations","PFR Program Free Registrations","PFR Community Space Use","PFR Permits Issued"
"West Humber-Clairville",1.0,"N/A",4655.0,0.0,923.0,1385.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",6058.0,5791.0,2716.0,1799.0
"Thistletown-Beaumond Heights",3.0,"N/A",3026.0,51.0,1716.0,1191.0
"Rexdale-Kipling",4.0,"N/A",34.0,0.0,3.0,88.0
"Elms-Old Rexdale",5.0,"N/A",5101.0,2116.0,242.0,2388.0
"Kingsview Village-The Westway",6.0,"N/A",0.0,2391.0,0.0,2.0
"Willowridge-Martingrove-Richview",7.0,"N/A",5706.0,0.0,159.0,2711.0
"Humber Heights-Westmount",8.0,"N/A",189.0,0.0,708.0,231.0
"Edenbridge-Humber Valley",9.0,"N/A",2160.0,0.0,0.0,1294.0
"Princess-Rosethorn",10.0,"N/A",2475.0,0.0,0.0,643.0
"Eringate-Centennial-West Deane",11.0,"N/A",7726.0,7.0,582.0,7770.0
"Markland Wood",12.0,"N/A",2829.0,260.0,0.0,372.0
"Etobicoke West Mall",13.0,"N/A",416.0,167.0,0.0,2311.0
"Islington-City Centre West",14.0,"N/A",2996.0,1178.0,0.0,1138.0
"Kingsway South",15.0,"N/A",9511.0,57.0,382.0,1314.0
"Stonegate-Queensway",16.0,"N/A",11128.0,198.0,412.0,2025.0
"Mimico",17.0,"N/A",3272.0,1238.0,158.0,3748.0
"New Toronto",18.0,"N/A",5152.0,187.0,108.0,2019.0
"Long Branch",19.0,"N/A",1892.0,21.0,0.0,713.0
"Alderwood",20.0,"N/A",4179.0,185.0,139.0,885.0
"Humber Summit",21.0,"N/A",1743.0,0.0,959.0,740.0
"Humbermede",22.0,"N/A",2958.0,419.0,2382.0,1615.0
"Pelmo Park-Humberlea",23.0,"N/A",327.0,0.0,507.0,251.0
"Black Creek",24.0,"N/A",120.0,3198.0,4051.0,1736.0
"Glenfield-Jane Heights",25.0,"N/A",3055.0,3978.0,4524.0,1421.0
"Downsview-Roding-CFB",26.0,"N/A",4044.0,2012.0,2046.0,1675.0
"York University Heights",27.0,"N/A",2824.0,1303.0,1604.0,2633.0
"Rustic",28.0,"N/A",2417.0,1806.0,8.0,66.0
"Maple Leaf",29.0,"N/A",0.0,0.0,0.0,1.0
"Brookhaven-Amesbury",30.0,"N/A",3303.0,651.0,602.0,1419.0
"Yorkdale-Glen Park",31.0,"N/A",1462.0,19.0,13.0,964.0
"Englemount-Lawrence",32.0,"N/A",3467.0,3989.0,822.0,2429.0
"Clanton Park",33.0,"N/A",411.0,0.0,0.0,118.0
"Bathurst Manor",34.0,"N/A",815.0,0.0,580.0,1812.0
"Westminster-Branson",35.0,"N/A",2864.0,6071.0,2226.0,2952.0
"Newtonbrook West",36.0,"N/A",2567.0,14.0,987.0,1782.0
"Willowdale West",37.0,"N/A",5542.0,168.0,3129.0,161.0
"Lansing-Westgate",38.0,"N/A",13456.0,270.0,2156.0,2797.0
"Bedford Park-Nortown",39.0,"N/A",142.0,0.0,1951.0,1413.0
"St.Andrew-Windfields",40.0,"N/A",2051.0,0.0,0.0,2687.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",1128.0,0.0,5.0,4105.0
"Banbury-Don Mills",42.0,"N/A",1633.0,0.0,1490.0,4151.0
"Victoria Village",43.0,"N/A",1573.0,4204.0,57.0,2408.0
"Flemingdon Park",44.0,"N/A",544.0,7610.0,3122.0,1991.0
"Parkwoods-Donalda",45.0,"N/A",3110.0,22.0,709.0,4627.0
"Pleasant View",46.0,"N/A",3231.0,32.0,1297.0,2290.0
"Don Valley Village",47.0,"N/A",5202.0,1534.0,2556.0,4368.0
"Hillcrest Village",48.0,"N/A",1133.0,129.0,572.0,1623.0
"Bayview Woods-Steeles",49.0,"N/A",5584.0,46.0,626.0,851.0
"Newtonbrook East",50.0,"N/A",1338.0,10.0,259.0,899.0
"Willowdale East",51.0,"N/A",4667.0,32.0,760.0,1932.0
"Bayview Village",52.0,"N/A",0.0,0.0,0.0,2425.0
"Henry Farm",53.0,"N/A",392.0,0.0,0.0,1452.0
"O'Connor-Parkview",54.0,"N/A",1279.0,20.0,14.0,436.0
"Thorncliffe Park",55.0,"N/A",1085.0,604.0,932.0,1969.0
"Leaside-Bennington",56.0,"N/A",4318.0,2.0,779.0,3664.0
"Broadview North",57.0,"N/A",0.0,0.0,0.0,1.0
"Old East York",58.0,"N/A",5308.0,16.0,227.0,301.0
"Danforth-East York",59.0,"N/A",418.0,138.0,204.0,655.0
"Woodbine-Lumsden",60.0,"N/A",3231.0,26.0,368.0,5480.0
"Taylor-Massey",61.0,"N/A",257.0,2364.0,1056.0,1290.0
"East End-Danforth",62.0,"N/A",7598.0,81.0,30.0,522.0
"The Beaches",63.0,"N/A",5633.0,297.0,170.0,3740.0
"Woodbine Corridor",64.0,"N/A",2688.0,30.0,23.0,205.0
"Greenwood-Coxwell",65.0,"N/A",2476.0,6.0,85.0,400.0
"Danforth",66.0,"N/A",2687.0,5.0,0.0,10.0
"Playter Estates-Danforth",67.0,"N/A",0.0,0.0,0.0,4.0
"North Riverdale",68.0,"N/A",4985.0,0.0,37.0,1331.0
"Blake-Jones",69.0,"N/A",0.0,0.0,0.0,137.0
"South Riverdale",70.0,"N/A",5894.0,5060.0,422.0,5439.0
"Cabbagetown-South St.James Town",71.0,"N/A",1254.0,0.0,79.0,596.0
"Regent Park",72.0,"N/A",0.0,4001.0,888.0,590.0
"Moss Park",73.0,"N/A",0.0,2642.0,18.0,371.0
"North St.James Town",74.0,"N/A",0.0,2331.0,9.0,130.0
"Church-Yonge Corridor",75.0,"N/A",0.0,0.0,0.0,206.0
"Bay Street Corridor",76.0,"N/A",0.0,0.0,0.0,243.0
"Waterfront Communities-The Island",77.0,"N/A",3005.0,376.0,245.0,2653.0
"Kensington-Chinatown",78.0,"N/A",0.0,1772.0,0.0,142.0
"University",79.0,"N/A",0.0,0.0,0.0,2.0
"Palmerston-Little Italy",80.0,"N/A",2886.0,0.0,49.0,374.0
"Trinity-Bellwoods",81.0,"N/A",6399.0,0.0,295.0,1342.0
"Niagara",82.0,"N/A",0.0,0.0,0.0,1802.0
"Dufferin Grove",83.0,"N/A",0.0,0.0,0.0,475.0
"Little Portugal",84.0,"N/A",4166.0,0.0,269.0,181.0
"South Parkdale",85.0,"N/A",286.0,5132.0,2980.0,1342.0
"Roncesvalles",86.0,"N/A",3353.0,501.0,548.0,343.0
"High Park-Swansea",87.0,"N/A",5240.0,36.0,110.0,5245.0
"High Park North",88.0,"N/A",7803.0,60.0,72.0,594.0
"Runnymede-Bloor West Village",89.0,"N/A",2357.0,0.0,0.0,15.0
"Junction Area",90.0,"N/A",0.0,0.0,0.0,508.0
"Weston-Pellam Park",91.0,"N/A",0.0,0.0,0.0,90.0
"Corso Italia-Davenport",92.0,"N/A",8519.0,69.0,223.0,1517.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",4770.0,0.0,48.0,1813.0
"Wychwood",94.0,"N/A",0.0,0.0,0.0,1159.0
"Annex",95.0,"N/A",165.0,2.0,0.0,220.0
"Casa Loma",96.0,"N/A",3749.0,48.0,2.0,2551.0
"Yonge-St.Clair",97.0,"N/A",0.0,0.0,0.0,3.0
"Rosedale-Moore Park",98.0,"N/A",0.0,0.0,0.0,3558.0
"Mount Pleasant East",99.0,"N/A",1351.0,4.0,0.0,92.0
"Yonge-Eglinton",100.0,"N/A",7759.0,22.0,390.0,1117.0
"Forest Hill South",101.0,"N/A",0.0,0.0,0.0,5.0
"Forest Hill North",102.0,"N/A",0.0,0.0,0.0,337.0
"Lawrence Park South",103.0,"N/A",0.0,0.0,0.0,2464.0
"Mount Pleasant West",104.0,"N/A",303.0,0.0,0.0,1765.0
"Lawrence Park North",105.0,"N/A",2315.0,0.0,0.0,1484.0
"Humewood-Cedarvale",106.0,"N/A",829.0,1.0,0.0,1316.0
"Oakwood Village",107.0,"N/A",3972.0,0.0,1292.0,1070.0
"Briar Hill-Belgravia",108.0,"N/A",0.0,0.0,0.0,310.0
"Caledonia-Fairbank",109.0,"N/A",20.0,0.0,0.0,97.0
