"Neighbourhood","Neighbourhood Id","Combined Indicators","Assaults","Sexual Assaults","Break & Enters","Robberies","Vehicle Thefts","Thefts","Murders","Arsons","Fires & Fire Alarms","Fire Vehicle Incidents","Hazardous Incidents","Fire Medical Calls"
"West Humber-Clairville",1.0,"N/A",301.0,48.0,148.0,87.0,310.0,41.0,0.0,2.0,729.0,550.0,213.0,760.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",238.0,51.0,25.0,76.0,62.0,5.0,2.0,1.0,357.0,83.0,173.0,528.0
"Thistletown-Beaumond Heights",3.0,"N/A",57.0,8.0,22.0,17.0,10.0,1.0,0.0,0.0,83.0,24.0,52.0,212.0
"Rexdale-Kipling",4.0,"N/A",50.0,5.0,18.0,16.0,12.0,2.0,0.0,1.0,84.0,16.0,46.0,189.0
"Elms-Old Rexdale",5.0,"N/A",42.0,6.0,7.0,11.0,7.0,1.0,0.0,0.0,89.0,38.0,64.0,129.0
"Kingsview Village-The Westway",6.0,"N/A",90.0,12.0,39.0,19.0,58.0,5.0,2.0,2.0,257.0,130.0,118.0,371.0
"Willowridge-Martingrove-Richview",7.0,"N/A",85.0,24.0,43.0,20.0,45.0,4.0,0.0,0.0,272.0,75.0,123.0,461.0
"Humber Heights-Westmount",8.0,"N/A",24.0,4.0,19.0,9.0,25.0,2.0,1.0,2.0,114.0,17.0,46.0,308.0
"Edenbridge-Humber Valley",9.0,"N/A",25.0,5.0,44.0,9.0,28.0,3.0,0.0,0.0,96.0,29.0,56.0,190.0
"Princess-Rosethorn",10.0,"N/A",22.0,6.0,34.0,20.0,21.0,4.0,0.0,0.0,88.0,39.0,60.0,156.0
"Eringate-Centennial-West Deane",11.0,"N/A",59.0,12.0,40.0,17.0,28.0,6.0,0.0,1.0,121.0,168.0,65.0,271.0
"Markland Wood",12.0,"N/A",23.0,1.0,52.0,11.0,8.0,3.0,0.0,0.0,95.0,25.0,32.0,178.0
"Etobicoke West Mall",13.0,"N/A",45.0,4.0,25.0,12.0,11.0,0.0,1.0,1.0,101.0,47.0,36.0,216.0
"Islington-City Centre West",14.0,"N/A",244.0,26.0,110.0,41.0,96.0,36.0,2.0,4.0,661.0,393.0,235.0,990.0
"Kingsway South",15.0,"N/A",21.0,1.0,25.0,8.0,17.0,2.0,0.0,1.0,118.0,26.0,47.0,113.0
"Stonegate-Queensway",16.0,"N/A",90.0,13.0,72.0,22.0,34.0,10.0,0.0,1.0,209.0,103.0,110.0,423.0
