"Neighbourhood","Neighbourhood Id","Combined Indicators","Seniors Living Alone","Total Tenants","High Shelter Costs","Owned Dwellings","Rented Dwellings","Home Repairs Needed","Tenant Average Rent","Average Family Income","Pre-Tax Household Income","After-Tax Household Income"
"West Humber-Clairville",1.0,"N/A",395.0,2450.0,2955.0,6505.0,2460.0,365.0,850.0,67240.0,63415.0,63977.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",400.0,4815.0,3600.0,4440.0,4820.0,980.0,875.0,52745.0,48145.0,49601.0
"Thistletown-Beaumond Heights",3.0,"N/A",265.0,1090.0,1040.0,2065.0,1085.0,185.0,875.0,71300.0,55030.0,54910.0
"Rexdale-Kipling",4.0,"N/A",490.0,1750.0,1350.0,2125.0,1750.0,300.0,835.0,65215.0,52430.0,53779.0
"Elms-Old Rexdale",5.0,"N/A",130.0,1285.0,1040.0,1845.0,1290.0,320.0,895.0,56515.0,53780.0,55054.0
"Kingsview Village-The Westway",6.0,"N/A",685.0,3255.0,2760.0,4360.0,3250.0,845.0,1015.0,60440.0,50935.0,51346.0
"Willowridge-Martingrove-Richview",7.0,"N/A",1130.0,3355.0,2345.0,4475.0,3360.0,495.0,1070.0,70855.0,60280.0,64594.0
"Humber Heights-Westmount",8.0,"N/A",805.0,1825.0,1555.0,2310.0,1825.0,265.0,935.0,69750.0,50230.0,49904.0
"Edenbridge-Humber Valley",9.0,"N/A",585.0,2575.0,1580.0,3160.0,2575.0,400.0,1080.0,142550.0,72565.0,74377.0
"Princess-Rosethorn",10.0,"N/A",385.0,550.0,645.0,3250.0,560.0,135.0,1240.0,152850.0,118480.0,126806.0
"Eringate-Centennial-West Deane",11.0,"N/A",710.0,940.0,1595.0,5700.0,940.0,445.0,1010.0,74865.0,71005.0,72352.0
"Markland Wood",12.0,"N/A",725.0,990.0,900.0,3220.0,990.0,250.0,1030.0,98390.0,75700.0,75936.0
"Etobicoke West Mall",13.0,"N/A",475.0,1720.0,1325.0,2240.0,1720.0,370.0,995.0,60035.0,52435.0,51601.0
"Islington-City Centre West",14.0,"N/A",1515.0,5340.0,4060.0,7865.0,5335.0,910.0,940.0,72435.0,61515.0,65098.0
"Kingsway South",15.0,"N/A",370.0,540.0,600.0,2770.0,540.0,155.0,1405.0,181960.0,121670.0,133039.0
"Stonegate-Queensway",16.0,"N/A",1090.0,3565.0,2850.0,6495.0,3570.0,880.0,920.0,86035.0,66155.0,70456.0
"Mimico",17.0,"N/A",1330.0,5605.0,4725.0,6920.0,5605.0,850.0,900.0,73130.0,55775.0,55331.0
"New Toronto",18.0,"N/A",520.0,2680.0,1840.0,2125.0,2680.0,430.0,755.0,60795.0,43440.0,42878.0
"Long Branch",19.0,"N/A",370.0,2205.0,1495.0,2155.0,2215.0,410.0,890.0,67730.0,51505.0,51608.0
"Alderwood",20.0,"N/A",520.0,990.0,1010.0,3545.0,990.0,255.0,925.0,72425.0,62840.0,63065.0
"Humber Summit",21.0,"N/A",240.0,975.0,1145.0,2860.0,970.0,165.0,915.0,61280.0,57810.0,57972.0
"Humbermede",22.0,"N/A",315.0,2160.0,1590.0,2445.0,2155.0,275.0,855.0,53090.0,46465.0,46578.0
"Pelmo Park-Humberlea",23.0,"N/A",235.0,500.0,810.0,2430.0,500.0,150.0,980.0,68370.0,64530.0,64576.0
"Black Creek",24.0,"N/A",565.0,4690.0,2675.0,2395.0,4685.0,865.0,795.0,47780.0,39755.0,40279.0
"Glenfield-Jane Heights",25.0,"N/A",830.0,4570.0,3635.0,5205.0,4575.0,1035.0,795.0,51685.0,44210.0,44046.0
"Downsview-Roding-CFB",26.0,"N/A",990.0,6485.0,4175.0,5575.0,6490.0,835.0,850.0,55895.0,45770.0,50618.0
"York University Heights",27.0,"N/A",540.0,5340.0,4210.0,4210.0,5345.0,855.0,890.0,52560.0,43050.0,42816.0
"Rustic",28.0,"N/A",350.0,2155.0,1230.0,1430.0,2155.0,240.0,695.0,51490.0,36945.0,36827.0
"Maple Leaf",29.0,"N/A",410.0,1680.0,1200.0,1950.0,1670.0,285.0,900.0,60525.0,48935.0,49086.0
"Brookhaven-Amesbury",30.0,"N/A",395.0,3420.0,2450.0,2665.0,3415.0,525.0,865.0,50655.0,43385.0,44004.0
"Yorkdale-Glen Park",31.0,"N/A",765.0,2270.0,1825.0,3160.0,2260.0,330.0,820.0,61700.0,49455.0,51404.0
