"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Tenants","High Shelter Costs","Owned Dwellings","Rented Dwellings","Home Repairs Needed","Tenant Average Rent"
"West Humber-Clairville",1.0,"N/A",10130.0,27.9,7075.0,3050.0,415.0,945.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",9610.0,33.3,4540.0,5070.0,1100.0,921.0
"Thistletown-Beaumond Heights",3.0,"N/A",3225.0,25.1,2080.0,1145.0,170.0,887.0
"Rexdale-Kipling",4.0,"N/A",3945.0,19.7,2010.0,1935.0,340.0,857.0
"Elms-Old Rexdale",5.0,"N/A",3225.0,34.3,1910.0,1315.0,320.0,966.0
"Kingsview Village-The Westway",6.0,"N/A",7655.0,25.7,3975.0,3675.0,670.0,1052.0
"Willowridge-Martingrove-Richview",7.0,"N/A",8145.0,19.7,4605.0,3540.0,515.0,1124.0
"Humber Heights-Westmount",8.0,"N/A",3930.0,29.7,2585.0,1350.0,350.0,1041.0
"Edenbridge-Humber Valley",9.0,"N/A",6020.0,22.6,3230.0,2790.0,300.0,1127.0
"Princess-Rosethorn",10.0,"N/A",3885.0,16.3,3290.0,595.0,105.0,1194.0
"Eringate-Centennial-West Deane",11.0,"N/A",6900.0,22.7,5840.0,1060.0,410.0,1108.0
"Markland Wood",12.0,"N/A",4365.0,21.5,3280.0,1090.0,260.0,1112.0
"Etobicoke West Mall",13.0,"N/A",4045.0,30.0,2250.0,1790.0,455.0,1078.0
"Islington-City Centre West",14.0,"N/A",16250.0,26.4,9955.0,6290.0,815.0,1072.0
"Kingsway South",15.0,"N/A",3505.0,15.3,2965.0,535.0,160.0,1640.0
"Stonegate-Queensway",16.0,"N/A",10425.0,18.5,6860.0,3565.0,545.0,996.0
"Mimico",17.0,"N/A",13680.0,27.4,7490.0,6185.0,915.0,1009.0
"New Toronto",18.0,"N/A",5170.0,24.3,2160.0,3005.0,600.0,777.0
"Long Branch",19.0,"N/A",4515.0,29.1,2270.0,2245.0,425.0,922.0
