"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Total Area"
"West Humber-Clairville",1.0,"N/A",34100.0,30.09
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",32790.0,4.6
"Thistletown-Beaumond Heights",3.0,"N/A",10140.0,3.4
"Rexdale-Kipling",4.0,"N/A",10485.0,2.5
"Elms-Old Rexdale",5.0,"N/A",9550.0,2.9
"Kingsview Village-The Westway",6.0,"N/A",21725.0,5.1
"Willowridge-Martingrove-Richview",7.0,"N/A",21345.0,5.5
"Humber Heights-Westmount",8.0,"N/A",10580.0,2.8
"Edenbridge-Humber Valley",9.0,"N/A",14945.0,5.5
"Princess-Rosethorn",10.0,"N/A",11200.0,5.2
"Eringate-Centennial-West Deane",11.0,"N/A",18805.0,8.6
"Markland Wood",12.0,"N/A",10435.0,2.9
"Etobicoke West Mall",13.0,"N/A",10925.0,1.7
"Islington-City Centre West",14.0,"N/A",38070.0,16.4
"Kingsway South",15.0,"N/A",9175.0,2.6
"Stonegate-Queensway",16.0,"N/A",24690.0,7.9
"Mimico",17.0,"N/A",26550.0,6.9
"New Toronto",18.0,"N/A",10905.0,3.5
"Long Branch",19.0,"N/A",9630.0,2.3
"Alderwood",20.0,"N/A",11900.0,5.0
"Humber Summit",21.0,"N/A",12530.0,7.9
"Humbermede",22.0,"N/A",15850.0,4.4
"Pelmo Park-Humberlea",23.0,"N/A",8705.0,4.2
"Black Creek",24.0,"N/A",22060.0,3.4
"Glenfield-Jane Heights",25.0,"N/A",31395.0,5.2
"Downsview-Roding-CFB",26.0,"N/A",34650.0,14.9
"York University Heights",27.0,"N/A",27715.0,13.2
"Rustic",28.0,"N/A",9950.0,2.1
"Maple Leaf",29.0,"N/A",10195.0,2.5
"Brookhaven-Amesbury",30.0,"N/A",17785.0,3.5
"Yorkdale-Glen Park",31.0,"N/A",14685.0,5.9
"Englemount-Lawrence",32.0,"N/A",22080.0,3.6
"Clanton Park",33.0,"N/A",14610.0,4.2
"Bathurst Manor",34.0,"N/A",15435.0,4.8
"Westminster-Branson",35.0,"N/A",25445.0,3.7
"Newtonbrook West",36.0,"N/A",23050.0,4.7
"Willowdale West",37.0,"N/A",15005.0,2.9
"Lansing-Westgate",38.0,"N/A",14640.0,5.4
"Bedford Park-Nortown",39.0,"N/A",23185.0,5.5
"St.Andrew-Windfields",40.0,"N/A",17955.0,7.3
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",8715.0,8.8
"Banbury-Don Mills",42.0,"N/A",26910.0,10.0
"Victoria Village",43.0,"N/A",17180.0,4.7
"Flemingdon Park",44.0,"N/A",22165.0,2.5
"Parkwoods-Donalda",45.0,"N/A",34620.0,7.5
"Pleasant View",46.0,"N/A",16145.0,3.0
"Don Valley Village",47.0,"N/A",26735.0,4.1
"Hillcrest Village",48.0,"N/A",17650.0,5.3
"Bayview Woods-Steeles",49.0,"N/A",13535.0,4.1
"Newtonbrook East",50.0,"N/A",16425.0,4.1
"Willowdale East",51.0,"N/A",45025.0,5.0
"Bayview Village",52.0,"N/A",17675.0,5.2
"Henry Farm",53.0,"N/A",11340.0,2.6
"O'Connor-Parkview",54.0,"N/A",18315.0,4.9
"Thorncliffe Park",55.0,"N/A",19225.0,3.1
"Leaside-Bennington",56.0,"N/A",17010.0,4.8
"Broadview North",57.0,"N/A",11565.0,1.7
"Old East York",58.0,"N/A",9115.0,2.3
"Danforth-East York",59.0,"N/A",16710.0,2.2
"Woodbine-Lumsden",60.0,"N/A",7825.0,1.2
"Taylor-Massey",61.0,"N/A",15595.0,1.1
"East End-Danforth",62.0,"N/A",20840.0,2.6
"The Beaches",63.0,"N/A",21135.0,3.6
"Woodbine Corridor",64.0,"N/A",11705.0,1.6
"Greenwood-Coxwell",65.0,"N/A",14075.0,1.7
"Danforth",66.0,"N/A",9450.0,1.1
"Playter Estates-Danforth",67.0,"N/A",7655.0,0.9
"North Riverdale",68.0,"N/A",12195.0,1.8
"Blake-Jones",69.0,"N/A",7765.0,0.9
"South Riverdale",70.0,"N/A",25640.0,9.6
"Cabbagetown-South St.James Town",71.0,"N/A",12050.0,1.4
"Regent Park",72.0,"N/A",10010.0,0.6
"Moss Park",73.0,"N/A",16310.0,1.4
"North St.James Town",74.0,"N/A",17825.0,0.4
"Church-Yonge Corridor",75.0,"N/A",28345.0,1.4
"Bay Street Corridor",76.0,"N/A",19345.0,1.8
"Waterfront Communities-The Island",77.0,"N/A",43365.0,7.6
"Kensington-Chinatown",78.0,"N/A",18500.0,1.5
"University",79.0,"N/A",7790.0,1.4
"Palmerston-Little Italy",80.0,"N/A",13735.0,1.4
"Trinity-Bellwoods",81.0,"N/A",16805.0,1.7
"Niagara",82.0,"N/A",21000.0,3.1
"Dufferin Grove",83.0,"N/A",11450.0,1.4
"Little Portugal",84.0,"N/A",12055.0,1.2
"South Parkdale",85.0,"N/A",21245.0,2.3
"Roncesvalles",86.0,"N/A",15050.0,1.5
"High Park-Swansea",87.0,"N/A",21750.0,5.3
"High Park North",88.0,"N/A",21300.0,1.9
"Runnymede-Bloor West Village",89.0,"N/A",9635.0,1.6
"Junction Area",90.0,"N/A",14015.0,2.6
"Weston-Pellam Park",91.0,"N/A",12015.0,1.5
"Corso Italia-Davenport",92.0,"N/A",13735.0,1.9
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",34635.0,3.7
"Wychwood",94.0,"N/A",13985.0,1.7
"Annex",95.0,"N/A",29180.0,2.8
"Casa Loma",96.0,"N/A",10485.0,1.9
"Yonge-St.Clair",97.0,"N/A",11655.0,1.2
"Rosedale-Moore Park",98.0,"N/A",20635.0,4.6
"Mount Pleasant East",99.0,"N/A",15980.0,3.1
"Yonge-Eglinton",100.0,"N/A",10580.0,1.6
"Forest Hill South",101.0,"N/A",10925.0,2.5
"Forest Hill North",102.0,"N/A",12475.0,1.6
"Lawrence Park South",103.0,"N/A",15075.0,3.2
