"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Traffic Collisions","Road Kilometres","Road Volume","TTC Stops","Pedestrian/Other Collisions"
"West Humber-Clairville",1.0,"N/A",34100.0,778.0,165.0073788,5956.638889,338.0,727.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",32790.0,154.0,33.86731754,3514.166667,70.0,224.0
"Thistletown-Beaumond Heights",3.0,"N/A",10140.0,69.0,27.87682004,3545.0,45.0,109.0
"Rexdale-Kipling",4.0,"N/A",10485.0,96.0,25.23712912,7621.333333,40.0,62.0
"Elms-Old Rexdale",5.0,"N/A",9550.0,70.0,17.07821088,4115.5,29.0,63.0
"Kingsview Village-The Westway",6.0,"N/A",21725.0,74.0,34.67941211,3371.0,70.0,105.0
"Willowridge-Martingrove-Richview",7.0,"N/A",21345.0,179.0,58.1905001,2446.833333,81.0,80.0
"Humber Heights-Westmount",8.0,"N/A",10580.0,54.0,25.33142639,7039.0,58.0,27.0
"Edenbridge-Humber Valley",9.0,"N/A",14945.0,150.0,44.71755334,4880.25,63.0,39.0
"Princess-Rosethorn",10.0,"N/A",11200.0,78.0,55.51501804,4781.0,61.0,49.0
"Eringate-Centennial-West Deane",11.0,"N/A",18805.0,166.0,63.07531488,6543.222222,85.0,74.0
"Markland Wood",12.0,"N/A",10435.0,76.0,27.72983914,4689.333333,29.0,53.0
"Etobicoke West Mall",13.0,"N/A",10925.0,31.0,15.67267236,3598.0,27.0,33.0
"Islington-City Centre West",14.0,"N/A",38070.0,366.0,120.1567608,5704.939394,245.0,689.0
"Kingsway South",15.0,"N/A",9175.0,99.0,30.48819635,5078.333333,33.0,56.0
"Stonegate-Queensway",16.0,"N/A",24690.0,265.0,84.63624626,7115.142857,106.0,155.0
"Mimico",17.0,"N/A",26550.0,171.0,52.8735019,4599.75,126.0,134.0
"New Toronto",18.0,"N/A",10905.0,109.0,27.90971541,4541.75,41.0,71.0
"Long Branch",19.0,"N/A",9630.0,88.0,26.22108051,2514.5,21.0,43.0
"Alderwood",20.0,"N/A",11900.0,125.0,43.87582539,4381.0,60.0,56.0
"Humber Summit",21.0,"N/A",12530.0,286.0,48.83422843,4400.090909,103.0,205.0
"Humbermede",22.0,"N/A",15850.0,103.0,28.13528583,4377.333333,46.0,158.0
"Pelmo Park-Humberlea",23.0,"N/A",8705.0,110.0,32.44376816,5889.857143,47.0,173.0
"Black Creek",24.0,"N/A",22060.0,135.0,23.51819455,7326.3,94.0,182.0
"Glenfield-Jane Heights",25.0,"N/A",31395.0,222.0,41.62227043,3632.714286,88.0,340.0
"Downsview-Roding-CFB",26.0,"N/A",34650.0,300.0,87.98992412,2825.888889,166.0,604.0
"York University Heights",27.0,"N/A",27715.0,548.0,67.60074578,5546.25,235.0,598.0
"Rustic",28.0,"N/A",9950.0,99.0,20.02981099,7692.0,30.0,36.0
"Maple Leaf",29.0,"N/A",10195.0,76.0,23.05914766,3384.666667,26.0,41.0
"Brookhaven-Amesbury",30.0,"N/A",17785.0,108.0,29.67583066,4326.375,57.0,188.0
"Yorkdale-Glen Park",31.0,"N/A",14685.0,246.0,49.71453259,4193.75,155.0,1007.0
"Englemount-Lawrence",32.0,"N/A",22080.0,198.0,39.79200011,3056.1,90.0,185.0
"Clanton Park",33.0,"N/A",14610.0,148.0,42.6697449,3513.25,57.0,234.0
"Bathurst Manor",34.0,"N/A",15435.0,177.0,41.4372944,5594.4,69.0,146.0
"Westminster-Branson",35.0,"N/A",25445.0,150.0,23.39752438,4357.75,36.0,221.0
"Newtonbrook West",36.0,"N/A",23050.0,260.0,46.89685527,5774.6,95.0,351.0
"Willowdale West",37.0,"N/A",15005.0,167.0,32.29755967,4808.285714,25.0,111.0
"Lansing-Westgate",38.0,"N/A",14640.0,173.0,39.31779631,6920.090909,44.0,142.0
"Bedford Park-Nortown",39.0,"N/A",23185.0,258.0,62.50510549,3124.076923,75.0,167.0
"St.Andrew-Windfields",40.0,"N/A",17955.0,302.0,59.74934713,3595.5,151.0,123.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",8715.0,128.0,48.36508558,7224.5,66.0,205.0
"Banbury-Don Mills",42.0,"N/A",26910.0,166.0,75.0681627,4750.642857,128.0,319.0
"Victoria Village",43.0,"N/A",17180.0,122.0,34.27607748,5074.666667,73.0,113.0
"Flemingdon Park",44.0,"N/A",22165.0,120.0,11.77007859,5799.375,48.0,95.0
"Parkwoods-Donalda",45.0,"N/A",34620.0,312.0,58.27994577,4192.777778,109.0,173.0
"Pleasant View",46.0,"N/A",16145.0,152.0,32.86586301,4517.0,43.0,77.0
"Don Valley Village",47.0,"N/A",26735.0,185.0,39.98616921,6050.3,57.0,251.0
"Hillcrest Village",48.0,"N/A",17650.0,174.0,41.08455447,3566.222222,80.0,170.0
"Bayview Woods-Steeles",49.0,"N/A",13535.0,107.0,29.92753678,10812.0,37.0,79.0
"Newtonbrook East",50.0,"N/A",16425.0,151.0,39.49436862,4012.333333,96.0,145.0
"Willowdale East",51.0,"N/A",45025.0,524.0,62.46088057,5919.692308,61.0,296.0
"Bayview Village",52.0,"N/A",17675.0,99.0,37.07799855,3854.625,43.0,302.0
"Henry Farm",53.0,"N/A",11340.0,108.0,16.06263543,5659.0,27.0,112.0
"O'Connor-Parkview",54.0,"N/A",18315.0,128.0,44.29355774,2532.076923,95.0,93.0
"Thorncliffe Park",55.0,"N/A",19225.0,154.0,13.29149971,6611.5,62.0,256.0
"Leaside-Bennington",56.0,"N/A",17010.0,280.0,48.30630623,8701.583333,62.0,92.0
"Broadview North",57.0,"N/A",11565.0,47.0,15.20816339,3892.0,44.0,51.0
"Old East York",58.0,"N/A",9115.0,60.0,23.84081641,0.0,74.0,60.0
"Danforth-East York",59.0,"N/A",16710.0,106.0,35.28021008,3039.75,53.0,67.0
"Woodbine-Lumsden",60.0,"N/A",7825.0,70.0,16.07900302,2022.25,39.0,27.0
"Taylor-Massey",61.0,"N/A",15595.0,89.0,10.68841484,3575.5,27.0,73.0
"East End-Danforth",62.0,"N/A",20840.0,129.0,31.17002467,0.0,89.0,129.0
"The Beaches",63.0,"N/A",21135.0,193.0,43.72176959,3434.25,44.0,131.0
"Woodbine Corridor",64.0,"N/A",11705.0,75.0,20.75984929,5104.0,35.0,57.0
"Greenwood-Coxwell",65.0,"N/A",14075.0,91.0,23.60064249,2621.5,44.0,90.0
"Danforth",66.0,"N/A",9450.0,92.0,15.45133445,0.0,53.0,48.0
"Playter Estates-Danforth",67.0,"N/A",7655.0,112.0,11.62757371,2725.333333,41.0,56.0
"North Riverdale",68.0,"N/A",12195.0,110.0,18.77734793,3522.333333,43.0,95.0
"Blake-Jones",69.0,"N/A",7765.0,40.0,11.66190741,0.0,11.0,49.0
"South Riverdale",70.0,"N/A",25640.0,366.0,56.66203282,7386.2,109.0,318.0
"Cabbagetown-South St.James Town",71.0,"N/A",12050.0,74.0,15.27421978,1741.0,26.0,90.0
"Regent Park",72.0,"N/A",10010.0,15.0,6.939176645,0.0,20.0,40.0
"Moss Park",73.0,"N/A",16310.0,59.0,23.8997873,7509.333333,71.0,211.0
"North St.James Town",74.0,"N/A",17825.0,46.0,4.720277312,2377.666667,19.0,49.0
"Church-Yonge Corridor",75.0,"N/A",28345.0,253.0,22.58273038,4183.727273,64.0,357.0
"Bay Street Corridor",76.0,"N/A",19345.0,290.0,26.29975736,4701.1,126.0,580.0
"Waterfront Communities-The Island",77.0,"N/A",43365.0,487.0,63.67921613,5771.68,90.0,610.0
"Kensington-Chinatown",78.0,"N/A",18500.0,289.0,21.2281364,4152.777778,49.0,236.0
"University",79.0,"N/A",7790.0,86.0,15.59120246,0.0,45.0,152.0
"Palmerston-Little Italy",80.0,"N/A",13735.0,95.0,18.86810933,2291.666667,40.0,148.0
"Trinity-Bellwoods",81.0,"N/A",16805.0,156.0,26.77774476,4139.6,41.0,208.0
"Niagara",82.0,"N/A",21000.0,312.0,19.53632815,5347.625,64.0,313.0
"Dufferin Grove",83.0,"N/A",11450.0,94.0,16.21458922,3287.2,42.0,141.0
"Little Portugal",84.0,"N/A",12055.0,122.0,17.38358577,6815.5,22.0,102.0
"South Parkdale",85.0,"N/A",21245.0,110.0,24.80493413,6156.444444,40.0,152.0
"Roncesvalles",86.0,"N/A",15050.0,139.0,19.20689115,4172.0,41.0,90.0
"High Park-Swansea",87.0,"N/A",21750.0,291.0,47.64471023,4831.9,77.0,125.0
"High Park North",88.0,"N/A",21300.0,145.0,23.63400611,2299.333333,61.0,87.0
"Runnymede-Bloor West Village",89.0,"N/A",9635.0,102.0,19.86655409,2667.5,55.0,56.0
"Junction Area",90.0,"N/A",14015.0,146.0,26.82264851,5993.6,93.0,164.0
"Weston-Pellam Park",91.0,"N/A",12015.0,104.0,16.90758145,2896.8,32.0,62.0
"Corso Italia-Davenport",92.0,"N/A",13735.0,124.0,22.3904709,3832.833333,73.0,78.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",34635.0,286.0,47.68163149,3898.416667,137.0,204.0
"Wychwood",94.0,"N/A",13985.0,75.0,22.11651935,3112.5,62.0,74.0
"Annex",95.0,"N/A",29180.0,331.0,39.47685229,5810.5,120.0,290.0
"Casa Loma",96.0,"N/A",10485.0,116.0,22.99642277,3815.5,45.0,74.0
"Yonge-St.Clair",97.0,"N/A",11655.0,99.0,12.83543094,7116.0,28.0,58.0
"Rosedale-Moore Park",98.0,"N/A",20635.0,305.0,48.24002744,3646.62069,91.0,148.0
"Mount Pleasant East",99.0,"N/A",15980.0,218.0,28.31337044,5380.714286,58.0,83.0
"Yonge-Eglinton",100.0,"N/A",10580.0,143.0,22.07398574,5391.0,67.0,134.0
"Forest Hill South",101.0,"N/A",10925.0,164.0,30.25289175,5855.0,28.0,42.0
"Forest Hill North",102.0,"N/A",12475.0,153.0,20.41502948,5872.555556,53.0,61.0
"Lawrence Park South",103.0,"N/A",15075.0,183.0,39.90787305,4398.111111,39.0,69.0
"Mount Pleasant West",104.0,"N/A",28590.0,228.0,16.12560861,5827.571429,45.0,111.0
