"Neighbourhood","Neighbourhood Id","Combined Indicators","Visible Minority Category","   Chinese","   South Asian","   Black","   Filipino","   Latin American","   Southeast Asian","   Arab","   West Asian","   Korean","   Japanese","   Other Visible Minority","   Multiple Visible Minority","   Not a Visible Minority","Aboriginal"
"West Humber-Clairville",1.0,"N/A",31380.0,795.0,12740.0,5495.0,1385.0,1340.0,465.0,250.0,155.0,130.0,30.0,1055.0,585.0,6930.0,65.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",32105.0,600.0,12920.0,7225.0,710.0,1325.0,625.0,1180.0,1040.0,65.0,75.0,1250.0,365.0,4735.0,50.0
"Thistletown-Beaumond Heights",3.0,"N/A",9755.0,75.0,2430.0,1450.0,125.0,475.0,75.0,110.0,280.0,65.0,0.0,100.0,60.0,4505.0,50.0
"Rexdale-Kipling",4.0,"N/A",10445.0,145.0,1515.0,860.0,250.0,760.0,200.0,75.0,210.0,25.0,115.0,100.0,100.0,6075.0,65.0
"Elms-Old Rexdale",5.0,"N/A",9435.0,165.0,965.0,2475.0,395.0,745.0,185.0,140.0,245.0,75.0,10.0,150.0,145.0,3730.0,45.0
"Kingsview Village-The Westway",6.0,"N/A",21390.0,475.0,4495.0,3530.0,345.0,890.0,135.0,300.0,565.0,500.0,40.0,115.0,185.0,9785.0,35.0
"Willowridge-Martingrove-Richview",7.0,"N/A",20900.0,580.0,2700.0,1915.0,370.0,575.0,210.0,105.0,115.0,275.0,70.0,170.0,215.0,13610.0,65.0
"Humber Heights-Westmount",8.0,"N/A",10055.0,50.0,230.0,970.0,55.0,395.0,50.0,40.0,70.0,75.0,25.0,35.0,35.0,8010.0,55.0
"Edenbridge-Humber Valley",9.0,"N/A",14445.0,315.0,170.0,375.0,125.0,305.0,60.0,10.0,30.0,335.0,70.0,55.0,30.0,12560.0,30.0
"Princess-Rosethorn",10.0,"N/A",10960.0,505.0,315.0,90.0,80.0,30.0,15.0,0.0,10.0,310.0,140.0,10.0,30.0,9425.0,15.0
"Eringate-Centennial-West Deane",11.0,"N/A",18475.0,955.0,1420.0,760.0,335.0,405.0,210.0,150.0,100.0,365.0,240.0,60.0,90.0,13355.0,25.0
"Markland Wood",12.0,"N/A",10145.0,315.0,315.0,125.0,100.0,40.0,165.0,60.0,75.0,235.0,85.0,10.0,25.0,8575.0,30.0
"Etobicoke West Mall",13.0,"N/A",10295.0,450.0,970.0,810.0,375.0,395.0,60.0,65.0,125.0,295.0,60.0,35.0,55.0,6595.0,70.0
"Islington-City Centre West",14.0,"N/A",32315.0,1165.0,2030.0,1855.0,1150.0,705.0,340.0,560.0,395.0,1375.0,115.0,135.0,215.0,22250.0,115.0
"Kingsway South",15.0,"N/A",8670.0,275.0,110.0,10.0,30.0,10.0,0.0,0.0,0.0,90.0,120.0,25.0,65.0,7925.0,10.0
"Stonegate-Queensway",16.0,"N/A",23690.0,350.0,565.0,350.0,275.0,585.0,120.0,25.0,35.0,200.0,100.0,40.0,80.0,20945.0,85.0
"Mimico",17.0,"N/A",24895.0,910.0,1205.0,865.0,1000.0,655.0,270.0,165.0,135.0,215.0,100.0,260.0,160.0,18955.0,195.0
"New Toronto",18.0,"N/A",10440.0,155.0,435.0,1095.0,625.0,275.0,60.0,120.0,60.0,65.0,30.0,90.0,65.0,7350.0,85.0
"Long Branch",19.0,"N/A",9610.0,330.0,410.0,400.0,245.0,245.0,15.0,25.0,40.0,10.0,40.0,45.0,45.0,7755.0,130.0
"Alderwood",20.0,"N/A",11640.0,70.0,255.0,115.0,440.0,120.0,0.0,40.0,0.0,70.0,20.0,15.0,45.0,10455.0,80.0
"Humber Summit",21.0,"N/A",12755.0,145.0,3615.0,1335.0,95.0,695.0,350.0,100.0,205.0,20.0,0.0,240.0,85.0,5835.0,65.0
"Humbermede",22.0,"N/A",14770.0,390.0,4075.0,2060.0,260.0,1510.0,1090.0,130.0,290.0,120.0,0.0,355.0,80.0,4425.0,50.0
"Pelmo Park-Humberlea",23.0,"N/A",8720.0,265.0,660.0,940.0,305.0,540.0,275.0,35.0,25.0,20.0,10.0,55.0,60.0,5540.0,20.0
"Black Creek",24.0,"N/A",21560.0,1230.0,3305.0,6080.0,320.0,1485.0,2030.0,420.0,355.0,70.0,15.0,950.0,565.0,4725.0,90.0
"Glenfield-Jane Heights",25.0,"N/A",30710.0,2000.0,3550.0,6615.0,640.0,3475.0,3350.0,455.0,455.0,40.0,10.0,830.0,815.0,8435.0,35.0
"Downsview-Roding-CFB",26.0,"N/A",31955.0,865.0,2250.0,4600.0,1620.0,3250.0,1365.0,230.0,400.0,140.0,100.0,265.0,380.0,16480.0,170.0
"York University Heights",27.0,"N/A",25975.0,3160.0,4780.0,3630.0,670.0,1360.0,1155.0,300.0,465.0,175.0,40.0,295.0,375.0,9535.0,125.0
"Rustic",28.0,"N/A",9865.0,115.0,795.0,3000.0,215.0,615.0,260.0,35.0,145.0,10.0,50.0,150.0,65.0,4405.0,50.0
"Maple Leaf",29.0,"N/A",10175.0,160.0,1430.0,630.0,265.0,670.0,250.0,20.0,60.0,0.0,10.0,120.0,60.0,6485.0,10.0
"Brookhaven-Amesbury",30.0,"N/A",17315.0,815.0,1670.0,4185.0,640.0,1705.0,1095.0,85.0,215.0,85.0,40.0,145.0,205.0,6425.0,50.0
"Yorkdale-Glen Park",31.0,"N/A",14430.0,780.0,965.0,1635.0,810.0,620.0,465.0,40.0,55.0,130.0,30.0,95.0,195.0,8600.0,0.0
"Englemount-Lawrence",32.0,"N/A",20510.0,475.0,390.0,2440.0,2335.0,690.0,150.0,75.0,305.0,75.0,25.0,150.0,210.0,13165.0,60.0
"Clanton Park",33.0,"N/A",13685.0,405.0,335.0,740.0,1950.0,270.0,35.0,30.0,65.0,60.0,20.0,10.0,155.0,9580.0,15.0
"Bathurst Manor",34.0,"N/A",14610.0,425.0,585.0,590.0,860.0,415.0,120.0,75.0,55.0,255.0,15.0,95.0,80.0,11050.0,20.0
"Westminster-Branson",35.0,"N/A",24395.0,835.0,935.0,905.0,2130.0,275.0,55.0,115.0,755.0,1010.0,25.0,70.0,160.0,17075.0,45.0
