"Neighbourhood","Neighbourhood Id","Combined Indicators","Visible Minority Category","   Chinese","   South Asian","   Black","   Filipino","   Latin American","   Southeast Asian","   Arab","   West Asian","   Japanese","   Korean","   Other Visible Minority","   Multiple Visible Minority","   Not a Visible Minority"
"West Humber-Clairville",1.0,"N/A",26475.0,695.0,13080.0,6385.0,1470.0,1220.0,820.0,235.0,220.0,55.0,100.0,1615.0,580.0,6855.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",28175.0,200.0,12720.0,8285.0,680.0,870.0,560.0,1605.0,1160.0,0.0,85.0,1565.0,435.0,4525.0
"Thistletown-Beaumond Heights",3.0,"N/A",6285.0,105.0,2285.0,1530.0,485.0,670.0,200.0,210.0,285.0,10.0,0.0,225.0,275.0,3705.0
"Rexdale-Kipling",4.0,"N/A",4425.0,200.0,1435.0,1025.0,245.0,650.0,85.0,55.0,40.0,50.0,90.0,385.0,175.0,5735.0
"Elms-Old Rexdale",5.0,"N/A",5510.0,120.0,925.0,2150.0,605.0,695.0,400.0,80.0,265.0,0.0,55.0,70.0,145.0,4030.0
"Kingsview Village-The Westway",6.0,"N/A",12180.0,450.0,3965.0,4415.0,555.0,815.0,275.0,225.0,730.0,40.0,175.0,240.0,290.0,9440.0
"Willowridge-Martingrove-Richview",7.0,"N/A",7915.0,460.0,2425.0,2250.0,435.0,950.0,115.0,175.0,245.0,80.0,365.0,195.0,215.0,13520.0
"Humber Heights-Westmount",8.0,"N/A",2435.0,105.0,380.0,960.0,80.0,410.0,25.0,185.0,25.0,0.0,140.0,35.0,85.0,7270.0
"Edenbridge-Humber Valley",9.0,"N/A",2610.0,265.0,200.0,580.0,165.0,540.0,70.0,155.0,95.0,45.0,290.0,35.0,160.0,12295.0
"Princess-Rosethorn",10.0,"N/A",1810.0,330.0,540.0,290.0,125.0,60.0,25.0,25.0,20.0,55.0,245.0,0.0,100.0,9340.0
"Eringate-Centennial-West Deane",11.0,"N/A",5180.0,595.0,1315.0,1190.0,370.0,290.0,130.0,85.0,100.0,235.0,530.0,165.0,165.0,13570.0
"Markland Wood",12.0,"N/A",1445.0,275.0,245.0,120.0,210.0,65.0,25.0,105.0,30.0,60.0,255.0,0.0,40.0,8920.0
"Etobicoke West Mall",13.0,"N/A",4250.0,295.0,1200.0,1000.0,585.0,295.0,50.0,130.0,285.0,35.0,215.0,115.0,55.0,6265.0
"Islington-City Centre West",14.0,"N/A",12355.0,1235.0,2535.0,2150.0,1405.0,1040.0,765.0,210.0,390.0,225.0,1590.0,525.0,300.0,25060.0
"Kingsway South",15.0,"N/A",1005.0,280.0,245.0,80.0,75.0,50.0,25.0,0.0,0.0,45.0,165.0,0.0,25.0,8100.0
"Stonegate-Queensway",16.0,"N/A",3890.0,350.0,1015.0,545.0,355.0,390.0,425.0,115.0,120.0,170.0,180.0,110.0,115.0,20645.0
"Mimico",17.0,"N/A",6700.0,1095.0,1055.0,1300.0,865.0,620.0,310.0,445.0,250.0,125.0,205.0,230.0,195.0,19640.0
